S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2006,AUDI A4 AWD 4C 2.0T,144500,WAUEF78E36A007683,WILL DICKER AUTO LLC,3500,7700 COUNTY ROAD 101 EAST SHAKOPEE MN 55379,612-353-7191,U SAVE CAR & TRUCK RENTAL,3700,"3195 Airport Loop Dr Ste D-2 Costa Mesa, CA 92626",(949) 752-6664,,,,
,,,,,PDX AUTOHAUS INC,3600,Not applicable,Not applicable,,,,,,,,
2,2005,GMC ENVOY 4X4 6C SLE,152202,1GKDT13S952145467,,,,,CAMEX AUTO SALE,3600,Not applicable,Not applicable,,,,
3,2001,MERCEDES S600V,111495,WDBNG78J41A203068,,,,,UNIQUE MOTORSPORTS INC,3250,"15941 Kaplanave City of Industry, CA 91744",(626) 333-9026,,,,
4,2008,VOLKSWAGEN JETTA 5C S,65934,3VWJZ71K88M087221,,,,,PUENTE HILLS SUBARU,5000,"17801 E Gale Ave City Of Industry, CA 91748",(888) 450-8814,,,,
5,2010,BMW 328I 328I,77746,WBAPH5G51ANM69671,,,,,FINANCE AUTO SALES,11600,"11604 Prairie Ave Hawthorne, CA 90250",(310) 644-4222,,,,
6,2005,VOLKSWAGEN TOUAREG V6,106599,WVGZG77L35D023375,,,,,EAST LA AUTO SALES INC,4500,"4300 E 3rd St Los Angeles, CA 90022-1501",323-264-8283,,,,
7,2005,VOLKSWAGEN JETTA 4C GLS,89917,3VWSA69M95M071729,,,,,F G MOTORS ,2200,"110 2nd St, Oakley, CA 94561",(925) 679-9094,,,,
8,2005,BMW MINI S,91970,WMWRH33555TK56341,PRESTIGE AUTOS,3100,"2683 Wardlow Rd Corona, CA 92882",(951) 403-6500,PRESTIGE AUTOS,3100,"2683 Wardlow Rd Corona, CA 92882",(951) 403-6500,,,,
9,2010,CHEVROLET TRAVERSE FWD LT W/1LT,55330,1GNLRFED7AS147057,,,,,CARMAX # 7195,14000,"9501 Research Dr Irvine, CA 92618",(949) 341-0801,,,,
10,2010,CHEVROLET AVEO LT,88098,KL1TD5DE3AB127780,CAR 1234 INC,2600,"982 Broadway El Cajon, CA 92021",(619) 647-4841,GOSS AUTO WORKS,2700,"1096 5th St, Calimesa, CA 92320, United States",+1 909-795-6179,,,,
11,2008,VOLKSWAGEN PASSAT FWD 4C,78921,WVWEK73C08E015014,WORLDWIDE MOTORS,5600,"9560 Black Mountain Rd Ste B San Diego, CA 92126
",(858) 999-3060,DRIVETIME,5700,"3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
12,2010,CHRYSLER SEBRING 4C TOURING,121315,1C3CC4FB5AN197163,,,,,EAST LA AUTO SALES INC,3500,"4300 E 3rd St Los Angeles, CA 90022-1501",323-264-8283,,,,
13,2013,BMW 328I 328I LUX,48132,WBA3A5C59DF353495,,,,,FINANCE AUTO SALES,18600,"11604 Prairie Ave Hawthorne, CA 90250",(310) 644-4222,,,,
14,2014,BMW 320I 320I,32931,WBA3B1C52EPV79458,,,,,SOUTHERN FINANCIAL,17500,NA,NA,,,,
15,2012,BMW 328I 328I SPT,30188,WBA3C1C57CF433542,PRO AUTOS,23000,NA,NA,CAR STAR MOTORS,23000,"12460 Victory Blvd North Hollywood, CA 91606",(818) 781-5333,,,,
16,2012,VOLKSWAGEN PASSAT 5C S,53141,1VWAP7A34CC015537,CROWN CITY MOTORS INC,8700,"2000 E Colorado Blvd Pasadena, CA 91107",(626) 248-7567,,,,,,,,
17,2008,AUDI A4 AWD 4C 2.0T QUATTRO,68402,WAUDF78E98A066428,,,,,CARMAX # 7195,9100,"9501 Research Dr Irvine, CA 92618",(949) 341-0801,,,,
