S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
19,2011,JEEP WRANG UNLTD SPORT,76858,1J4BA3H12BL504405,,,,,STEVENS CREEK CHRYSLER JEEP DODGE,"$20,000 ","4100 Stevens Creek Blvd San Jose, CA 95129",(408) 248-1800,,,,
20,2014,DODGE JOURNEY AWD V6 SXT,32918,3C4PDDBG4ET161353,,,,,DOLAN TOYOTA SCION,"$16,200 ","2100 Kietzke Ln Reno, NV 89502",(775) 826-2750,,,,
21,2012,NISSAN FRONTIER 4X2 CR SV,90813,1N6AD0ER1CC401895,SIERRA AUTO CENTER,"$14,900 ","4175 N Blackstone Ave Fresno, CA 93726",(559) 228-8700,SIERRA AUTO CENTER,"$14,900 ","4175 N Blackstone Ave Fresno, CA 93726",(559) 228-8700,,,,
22,2012,TOYOTA TUNDRA 4X2 DB SR5,54763,5TFRM5F16CX038692,,,,,PAUL BLANCO'S GOOD CAR COMPANY FRESNO INC,"$20,800 ","4880 N Blackstone Ave Fresno, CA 93726",(559) 225-1100,,,,
23,2014,RAM 3500 4X4 CR TRADESMAN,48071,3C63RRGL0EG149218,,,,,STEVENS CREEK CHRYSLER JEEP DODGE,"$35,000 ","4100 Stevens Creek Blvd San Jose, CA 95129",(408) 248-1800,,,,
24,2013,CHEVROLET 2500 SLV 4X4 CR LT,71905,1GC1KXE88DF112117,,,,,SIERRA AUTO CENTER,"$32,000 ","4175 N Blackstone Ave Fresno, CA 93726",(559) 228-8700,,,,
25,2014,RAM 2500 4X4 CR SLT,35096,3C6UR5DL9EG205917,HENRY CURTIS FORD,"$34,250 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,PLATINUM AUTO GROUP,"$34,500 ","15180 Palmdale Rd Victorville, CA 92392",(877) 449-8849,,,,
26,2014,FORD 350 SRW 4X4 CR XLT,27421,1FT7W3BT3EEB47901,JONES WEST FORD,"$38,000 ","3600 Kietzke Ln Reno, NV 89502",(775) 829-3200,VALLEY DEALER EXCHANGE INC,"$38,250 ","6530 San Fernando Rd Glendale, CA 91201",(818) 638-8130,,,,
27,2009,CHEVROLET TAHOE 4X2 V8 LT W/1LT,80257,1GNEC23389R276814,HENRY CURTIS FORD,"$19,500 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,HENRY CURTIS FORD,"$19,500 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,,,,
28,2009,CHEVROLET TAHOE 4X4 V8,88890,1GNFK13029R179454,,,,,TIM DAHLE NISSAN OF SOUTHTOWNE,"$19,000 ","11155 S Jordan Gateway Blvd South Jordan, UT 84095",(801) 495-3800,,,,
29,2015,GMC SIERA 25 4X4 CR SLT,51285,1GT12ZE82FF182159,ROYS AUTO CENTER,"$43,250 ","505 Broadway St Eureka, CA 95501","
 (707) 443-3008",PLATINUM AUTO GROUP,"$44,000 ","15180 Palmdale Rd Victorville, CA 92392",(877) 449-8849,,,,
,,,,,JEFFREY CHILDERS INC,"$43,500 ","519 S Central Park Ave W Anaheim, CA 92802",(714) 991-4930,,,,,,,,
30,2015,FORD 350 SRW 4X4 CR XL,29760,1FT8W3BT2FEA64465,J STAR FIAT & MASERATI OF ANAHEIM HILLS,"$38,500 ","8200 Crystal Dr Anaheim, CA 92807",(866) 325-6875,J STAR FIAT & MASERATI OF ANAHEIM HILLS,"$38,500 ","8200 Crystal Dr Anaheim, CA 92807",(866) 325-6875,,,,
31,2014,JEEP CHEROKEE FWD V6 LATITUDE,18455,1C4PJLCS7EW299274,,,,,PAUL BLANCOS GOOD CAR COMPANY,"$18,700 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
32,2013,DODGE DURANGO 4X2 V6 SXT,72619,1C4RDHAG2DC659630,SIERRA AUTO CENTER,"$18,000 ","4175 N Blackstone Ave Fresno, CA 93726",(559) 228-8700,SIERRA AUTO CENTER,"$18,000 ","4175 N Blackstone Ave Fresno, CA 93726",(559) 228-8700,,,,
33,2015,TOYOTA TUNDRA 4X2 CR SR5,13920,5TFEY5F16FX179527,,,,,DUBLIN TOYOTA,"$31,250 ","4321 Toyota Dr Dublin, CA 94568",(925) 829-7700,,,,
34,2013,CHEVROLET 1500 SLV 4X2 EX LT,38240,1GCRCSEA0DZ272206,,,,,PAUL BLANCOS GOOD CAR COMPANY,"$21,500 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
35,2009,CHEVROLET 1500 SUB 4X2 V8 LT W/2LT,89471,1GNFC26099R214473,,,,,WESTERN MOTORS/AIDE RENT A CAR,"$18,900 ",N/A,N/A,,,,
36,2011,FORD F150 4X4 EX FX4,92890,1FTFX1EF5BFD30614,PASO ROBLES FORD LINCOLN MERCURY,"$16,700 ","2401 Oakwood St Paso Robles, CA 93446",(805) 239-3673,PASO ROBLES FORD LINCOLN MERCURY,"$16,700 ","2401 Oakwood St Paso Robles, CA 93446",(805) 239-3673,,,,
,,,,,HENRY CURTIS FORD,"$16,600 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,,,,,,,,
37,2012,FORD F150 4X4 CR XLT,105500,1FTFW1EF1CFB14537,,,,,PAUL BLANCO'S GOOD CAR COMPANY,"$18,000 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
38,2009,BMW 335I 335I,88447,WBAPM77579NL86524,,,,,,,,,LA PUENTE MOTORS INCORPORATED,"$10,500 ","114 S 9th Ave La Puente, CA 91746",(626) 968-8970
39,2008,HONDA ACCORD 4C LX,46539,JHMCP26388C037909,,,,,,,,,CASH FOR FINANCE AUTO,"$7,600 ","16720 Lakewood Blvd Bellflower, CA 90706",(562) 202-9289
40,2010,BUICK LACROSSE FWD V6 CX,42418,1G4GB5EG6AF110850,,,,,CARSON NISSAN ,"$10,000 ","1505 E 223rd St Carson, CA 90745",(310) 221-5119,,,,
41,2013,KIA OPTIMA SX,33870,5XXGR4A6XDG149874,,,,,KIEFER KIA,"$17,000 ","1810 W 7th Ave Eugene, OR 97402",(541) 302-0909,,,,
42,2013,HYUNDAI SANTA FE FWD 4C SPORT,20621,5XYZT3LB1DG039743,HUNTINGTON BEACH MAZDA,"$16,500 ","16800 Beach Blvd Huntington Beach, CA 92647",(714) 848-7739,,,,,MERCED VOLKSWAGEN,"$16,600 ","1555 W 16th St Merced, CA 95340",(209) 384-2000
43,2011,TOYOTA RAV4 FWD 4C,71512,2T3ZF4DV6BW056803,,,,,AUTO WHOLESALE COMPANY,"$11,400 ","10231 Garden Grove Blvd Garden Grove, CA 92843",(714) 636-5800,,,,
44,2005,TOYOTA SIENNA FWD XLE LTD,89267,5TDZA22C25S224821,DCI AMERICA,"$7,100 ",Not applicable,Not applicable,ART KUZMA MOTORS INC,"$10,000 ","6504 NE Hwy 99 Vancouver, WA 98665",(360) 694-3385,,,,
,,,,,SILICON VALLEY AUTO SOURCE,"$8,500 ","750 E McGlincy Ln Ste 102 Campbell, CA 95008",(408) 599-1415,,,,,,,,
,,,,,PG MOTORS LLC,"$9,900 ","11814 NE Sandy Blvd Portland, OR 97220",(503) 708-6521,,,,,,,,
,,,,,MCCARTHY WHOLESALE,"$9,000 ",877-579-4781,877-579-4781,,,,,,,,
,,,,,ART KUZMA MOTORS INC,"$10,000 ","6504 NE Hwy 99 Vancouver, WA 98665",(360) 694-3385,,,,,,,,
45,2011,HONDA ODYSSEY EX,81870,5FNRL5H41BB100874,AUTOWEST FINANCIAL CORPORATION,"$12,800 ","3140 De La Cruz Blvd Santa Clara, CA 95054",(408) 986-8699,AUTOWEST FINANCIAL CORPORATION,"$12,800 ","3140 De La Cruz Blvd Santa Clara, CA 95054",(408) 986-8699,,,,
46,2012,TOYOTA HIGHLNDR FWD 4C,40866,5TDZA3EH7CS025614,CONCORD TOYOTA ,"$20,000 ","1090 Concord Ave, Concord, CA 94520",877-227-0510,DUBLIN TOYOTA,"$20,100 ","4321 Toyota Dr Dublin, CA 94568",(925) 829-7700,,,,
47,2012,INFINITI FX35 4X2,39106,JN8AS1MU5CM121173,INFINITI OF MONTCLAIR,"$25,300 ","9440 Autoplex Dr Montclair, CA 91763",(800) 536-8170,INFINITI OF MONTCLAIR,"$25,300 ","9440 Autoplex Dr Montclair, CA 91763",(800) 536-8170,,,,
,,,,,LEIF JOHNSON FORD,"$24,500 ",NA,NA,,,,,,,,
,,,,,VALENCIA INFINITI,"$25,200 ","24055 Magic Mountain Pkwy Valencia, CA 91355",(888) 838-3806,,,,,,,,
,,,,,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$25,000 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,,,,,
48,2013,TOYOTA HIGHLNDR FWD V6 PLUS,40734,5TDZK3EH4DS114300,AUTONATION DIRECT,"$22,250 ","200 SW 1st Avenue Fort Lauderdale, FL 33301",(877) 600-3011,PUENTE HILLS SUBARU,"$23,000 ","17801 E Gale Ave City Of Industry, CA 91748",(888) 450-8814,,,,
,,,,,KARMART VOLKSWAGEN OF,"$22,500 ","1725 Bouslog Rd Burlington, WA 98233",(360) 755-3700,,,,,,,,
49,2013,FORD EXPLORER FWD V6 LIMITED,36073,1FM5K7F82DGC30430,HENRY CURTIS FORD,"$25,500 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,HENRY CURTIS FORD,"$25,500 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,,,,
,,,,,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$25,750 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,,,,,
,,,,,BILL LUKE FIAT,"$24,750 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,,,,,,,,
50,2015,LEXUS GX 460,15012,JTJBM7FX3F5096502,ER FLEET AND RENTAL,"$44,500 ",NA,NA,ER FLEET AND RENTAL,"$44,500 ",NA,NA,,,,
,,,,,HENRY CURTIS FORD,"$44,250 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,,,,,,,,
51,2014,PORSCHE CAYENNE V8 S,5945,WP1AB2A22ELA57024,LOTUS OF LAS VEGAS,"$59,500 ",NA,NA,LOTUS OF LAS VEGAS,"$59,500 ",NA,NA,,,,
,,,,,VOLKSWAGEN OF PUYALLUP,"$57,750 ","820 River Rd Puyallup, WA 98371
",(253) 200-1061,,,,,,,,
,,,,,PORSCHE OF WEST HOUSTON,"$58,750 ","11890 Katy Freeway Houston, TX 77079",(855) 774-6351,,,,,,,,
,,,,,HENRY CURTIS FORD,"$59,250 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,,,,,,,,
52,2013,BMW X3 28I XDRIVE 28I XDRIVE,56494,5UXWX9C59D0A10745,BILL LUKE FIAT,"$22,000 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,DUBLIN TOYOTA,"$23,500 ","4321 Toyota Dr Dublin, CA 94568",(925) 829-7700,,,,
,,,,,HENRY CURTIS FORD,"$23,250 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,,,,,,,,
53,2009,NISSAN MURANO FWD,119428,JN8AZ18U49W003358,DRIVETIME,"$9,300 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$9,300 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
54,2009,HONDA PILOT FWD TOURING,94219,5FNYF388X9B010790,,,,,SIERRA AUTO CENTER,"$15,900 ","4175 N Blackstone Ave Fresno, CA 93726",(559) 228-8700,,,,
55,2011,CHEVROLET EQUINOX FWD 4C LT W/1LT,69693,2CNALDEC1B6450042,,,,,EBM AUTO SALES,"$12,700 ","304 N Abby St Fresno, CA 93701",(559) 441-0296,,,,
56,2013,ACURA MDX,31036,2HNYD2H25DH523776,ACURA OF RENO,"$27,750 ","11550 S Virginia Ave Reno, NV 89511",(775) 229-7777,ACURA OF RENO,"$27,750 ","11550 S Virginia Ave Reno, NV 89511",(775) 229-7777,,,,
,,,,,HENRY CURTIS FORD,"$27,500 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,,,,,,,,
57,2014,LEXUS GS 350 4X2,30354,JTHBE1BL6E5042205,,,,,HOME MOTORS,"$32,250 ","1313 E Main St Santa Maria, CA 93454",(805) 928-7744,,,,
58,2013,MINI COUNTRYMAN FWD,48489,WMWZB3C53DWR35989,CAPITAL CHEVROLET CADILLAC INC,"$14,000 ","2855 Maple Ave NE Salem, OR 97301",(503) 585-4141,CASH OR FINANCE AUTO,"$14,600 ","16720 Lakewood Blvd Bellflower, CA 90706",(562) 202-9289,,,,
59,2013,LEXUS RX 350 FWD,48157,2T2ZK1BA5DC106903,HENRY CURTIS FORD,"$26,250 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,MARQUINAS ENTERPRISES,"$27,000 ",Not applicable,Not applicable,,,,
60,2013,LEXUS GX 460,34174,JTJBM7FX6D5050627,VOLKSWAGEN OF PUYALLUP,"$36,000 ","820 River Rd Puyallup, WA 98371
",(253) 200-1061,TIM DAHLE INFINITI,"$37,750 ","4594 S State St Salt Lake City, UT 84107",(801) 262-5500,,,,
61,2011,TOYOTA 4RUNNER 4X2 SR5,71010,JTEZU5JR6B5030594,,,,,DUBLIN TOYOTA,"$22,300 ","4321 Toyota Dr Dublin, CA 94568",(925) 829-7700,,,,
62,2014,FORD MUSTANG V6 CNV PREMIUM,53507,1ZVBP8EM1E5243905,,,,,,,,,PANDA MOTORS INC,"$12,000 ","10371 Beach Boulevard  Stanton, CA 90680",(714) 947-1900
63,2013,BUICK ENCORE AWD PREMIUM,71503,KL4CJHSB5DB123028,,,,,TEAM KIA OF BEND,"$15,800 ","611 NE Purcell Blvd Bend, OR 97701",(541) 550-5555,,,,
64,2007,GMC TRUCK YUKON 4X2 V8,110656,1GKEC13J37J134114,DRIVETIME ,"$12,700 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME ,"$12,700 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
65,2013,NISSAN ALTIMA 4C S,39780,1N4AL3APXDN420288,AUTONATION DIRECT,"$11,900 ","200 SW 1st Avenue Fort Lauderdale, FL 33301",(877) 600-3011,AUTONATION DIRECT,"$11,900 ","200 SW 1st Avenue Fort Lauderdale, FL 33301",(877) 600-3011,,,,
66,2013,NISSAN ALTIMA 4C,36009,1N4AL3AP4DN476291,,,,,CERRITOS NISSAN,"$14,600 ","18707 Studebaker Rd Cerritos, CA 90703",(562) 219-2788,,,,
67,2016,FORD 350 SRW 4X4 RG XL,344,1FTRF3B66GEB24876,,,,,,,,,UNKNOWN,"$32,000 ",NA,NA
68,2016,FORD 350 SRW 4X4 RG XLT,347,1FTRF3B68GEB24877,,,,,,,,,UNKNOWN,"$32,100 ",NA,NA
69,2011,DODGE DURANGO AWD V8 CITADEL,37295,1D4SE5GT2BC638486,,,,,DOLAN TOYOTA SCION,"$26,750 ","2100 Kietzke Ln Reno, NV 89502",(775) 826-2750,,,,
70,2011,DODGE DURANGO AWD V8 CITADEL,75135,1D4SE5GT5BC594483,"CITY AUTO SALES, LLC","$20,100 ","400 North Johnson Ave El Cajon, CA 92020",(619) 588-4349,,,,,"CITY AUTO SALES, LLC","$20,100 ","400 North Johnson Ave El Cajon, CA 92020",(619) 588-4349
71,2014,CHEVROLET CORVETTE Z51 3LT,9292,1G1YL2D78E5106549,,,,,,,,,PANDA MOTORS INC,"$41,000 ","10371 Beach Boulevard  Stanton, CA 90680",(714) 947-1900
72,2013,HYUNDAI GENESIS V6 3.8L,36973,KMHGC4DD6DU257779,,,,,CERTIFIED BENZ & BEEMER,"$17,000 ","6725 E McDowell Rd Scottsdale, AZ 85257",(888) 553-7071,,,,
73,2005,CHEVROLET COLORADO 4X4 CR LS Z71,98731,1GCDT136258178614,,,,,ROYS AUTO CENTER,"$11,000 ","505 Broadway St Eureka, CA 95501","
 (707) 443-3008",,,,
74,2009,DODGE RAM 1500 4X4 CR SLT,63139,1D3HV13T69S725479,,,,,DOLAN TOYOTA SCION,"$19,500 ","2100 Kietzke Ln Reno, NV 89502",(775) 826-2750,,,,
75,2007,GMC YUKON DENAL AWD,78170,1GKFK63827J330451,HENRY CURTIS FORD,"$21,000 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,HENRY CURTIS FORD,"$21,000 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,,,,
76,2014,MERCEDES C250W C250,17856,WDDGF4HB1EA935545,,,,,LEGACY CARS,"$22,250 ","670 El Cajon Blvd El Cajon, CA 92020",(619) 442-0916,,,,
77,2010,CHRYSLER TOWN & COUNTRY TOURING,105433,2A4RR5D16AR358718,,,,,MAGIC AUTO CENTER OF RESEDA,"$6,400 ","6360 Reseda Blvd Tarzana, CA 91335",(818) 881-6999,,,,
78,2010,CADILLAC ESCALADE,69216,1GYUKAEF5AR174832,HENRY CURTIS FORD,"$27,000 ","1120 Auto Center Dr Petaluma, CA 94952",(707) 769-2300,VOLKSWAGEN OF PUYALLUP,"$27,750 ","820 River Rd Puyallup, WA 98371
",(253) 200-1061,,,,
,,,,,VOLKSWAGEN OF PUYALLUP,"$27,750 ","820 River Rd Puyallup, WA 98371
",(253) 200-1061,,,,,,,,
79,2011,CHEVROLET CAMARO V6 1LT,28542,2G1FB1ED5B9174539,,,,,AUTO CONNECTION,"$14,900 ","150 Shoreline Hwy Ste B23 Mill Valley, CA 94941",(415) 927-7283,,,,
80,2011,HYUNDAI SONATA GLS,91199,5NPEB4AC5BH074391,AUTOFORZA MOTORS LLC,"$7,600 ","76 W 2100 S Salt Lake City, UT 84115",(801) 601-8574,RILEYS AUTO SALES,"$7,700 ","400 S Soto St., Los Angeles, CA 90033",(323) 980-1004,,,,
81,2013,RAM 2500 4X4 RG TRADESMAN,47077,3C6LR5AL0DG608179,,,,,5 STAR AUTO SALES INC,"$25,800 ","1443 Mitchell Rd Modesto, CA 95351",(209) 538-9000,,,,
82,2007,LEXUS IS 250 4X2,83394,JTHBK262975046736,SOUTHWEST AUTO GROUP LLC,"$10,600 ","10530 Windsor Ln Houston, TX 77031",(281) 564-6363,BRAIDIA,"$11,400 ","3234 SE Powell Blvd Portland, OR 97202",(503) 232-2277,,,,
,,,,,BRAIDIA,"$11,400 ","3234 SE Powell Blvd Portland, OR 97202",(503) 232-2277,,,,,,,,
