S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2001,CHEVROLET 2500 4X2 CREW SILVER LS,254308,1GCHC23U41F187388,,,,,,,,,TAMAZULA AUTO SALES,$800 ,"6266 Tyler St, Riverside, CA 92503",(951) 324-1319
2,2004,CHEVROLET 1500 SLV 4X2 EX LS,185456,2GCEC19T141356130,,,,,,,,,ROCKET CAR COMPANY,"$2,000 ","15859 S Edna Pl Ste 107 Baldwin Park, CA 91706",(626) 253-7232
3,2004,CHRYSLER PT CRUISER,132015,3C4FY48B14T358653,,,,,,,,,TAMAZULA AUTO SALES,$500 ,"6266 Tyler St, Riverside, CA 92503",(951) 324-1319
4,2007,CHEVROLET IMPALA V6 LS,101505,2G1WB55K179188788,,,,,,,,,BMK IMPORTS,"$1,750 ","39 Balcony Irvine, CA 92603",(714) 404-8282
5,2002,BMW X5 3.0L,1,5UXFA53562LV71276,AUTO SERVICIO RAMIREZ SA DE CV,$600 ,Not applicable,Not applicable,,,,,TRANSFLEET US LLC,$950 ,"248 75th Ave  St Petersburg , Florida 33706 ",727-480-7400 
6,2005,CHEVROLET IMPALA BASE,151198,2G1WF52E659234356,,,,,,,,,ULTRA AUTO SALES,$500 ,"3801 12th Avenue Brooklyn, NY 11218",(718) 435-5231
7,2005,DODGE GRAND CARAV SXT,109795,2D4GP44L35R287775,DESERT IMPORT/EXPORT AUTO SALES,"$1,200 ","74990 Joni Dr Unit 1F Palm Desert, CA 92260",(760) 895-5285,,,,,PALM DESERT AUTO,"$1,900 ","74725 Joni Dr Palm Desert, CA 92260",(760) 895-8001
8,2008,TOYOTA CAMRY 4C LE,144830,4T1BE46K18U206373,,,,,,,,,BLUE LINE AUTO SALES LLC,"$5,000 ",NA,NA
9,2007,CHRYSLER 300 4X2 V6,154354,2C3KA43R37H637773,ONUR AUTO,"$2,000 ","521 North Mountain Avenue # J Upland, CA 91786",(909) 931- 7951,,,,,ONUR AUTO,"$2,000 ","521 North Mountain Avenue # J Upland, CA 91786",(909) 931- 7951
,,,,,J J WHOLESALE,"$1,900 ","5909 Whittier BlvdLos Angeles, CA 90022",(323) 346-0254,,,,,,,,
10,2002,DODGE DAKOTA 4X2 EX SXT,109893,1B7GL12X12S643017,DESERT IMPORT/EXPORT AUTO SALES,"$1,400 ","74990 Joni Dr Unit 1F Palm Desert, CA 92260",(760) 895-5285,,,,,METRO AUTO,"$2,000 ","623 W Chapman Ave Orange, CA 92868",(714) 740-7244
,,,,,METRO AUTO,"$2,000 ","623 W Chapman Ave Orange, CA 92868",(714) 740-7244,,,,,,,,
11,2005,CHEVROLET TRAILBLZ 4X4 V8 LT,132843,1GNET16M556175000,METRO AUTO,"$3,000 ","623 W Chapman Ave Orange, CA 92868",(714) 740-7244,METRO AUTO,"$3,000 ","623 W Chapman Ave Orange, CA 92868",(714) 740-7244,,,,
12,2005,MERCURY MARINER FWD V6 PREMIER,128771,4M2CU56115DJ17627,ADELANTO AUTO SALES,"$1,800 ","17856 Jonathan Street Adelanto, CA 92301",(760) 530-7154,,,,,O C LEASING INC,"$1,900 ","195 Arovista Cir Brea, CA 92821-3830",714-529-3300
13,2007,CHRYSLER 300 4X2 V6,185804,2C3KA43R07H606545,J J WHOLESALE,"$2,000 ","5909 Whittier BlvdLos Angeles, CA 90022",(323) 346-0254,CAMEX AUTO SALE,"$2,700 ",Not applicable,Not applicable,,,,
,,,,,ONUR AUTO,"$2,050 ","521 North Mountain Avenue # J Upland, CA 91786",(909) 931- 7951,,,,,,,,
14,2004,DODGE DAKOTA 4X2 V6 SPORT,198102,1D7HL38K94S566854,,,,,,,,,BEST NEW YORK CORP,"$1,350 ",NA,NA
15,2002,CHEVROLET TRAILBLZ 4X4 LTZ,176367,1GNDT13S522285062,,,,,,,,,AUTO SERVICIO RAMIREZ SA DE CV,$900 ,Not applicable,Not applicable
