S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2014,FORD FOCUS SE,18667,1FADP3F2XEL111173,,,,,WESTLIE MOTORS INC,"$9,600 ","500 S Broadway Minot, ND 58701",(701) 852-1354,,,,
2,2014,FORD FUSION FWD 4C SE,19332,3FA6P0HD0ER256259,,,,,HENRY CLAY MOTORS LLC,"$13,300 ",Not applicable,Not applicable,,,,
3,2014,FORD MUSTANG V6 CPE,20738,1ZVBP8AM0E5200985,BILL LUKE FIAT,"$14,300 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,STEVENS CREEK CHRYSLER JEEP DODGE,"$14,200 ","4100 Stevens Creek Blvd San Jose, CA 95129",(408) 248-1800,,,,
4,2014,FORD FOCUS SE,20869,1FADP3F29EL185362,PREMIER HYUNDAI OF OAKLAND,"$9,000 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$9,000 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
5,2014,FORD FUSION FWD 4C S,23153,3FA6P0G76ER316461,PREMIER HYUNDAI OF OAKLAND,"$10,900 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$10,900 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
6,2010,FORD F150 4X2 CR XLT,2300,1FTEW1C83AKB48077,,,,,PAUL BLANCOS GOOD CAR COMPANY,"$23,000 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
7,2013,TOYOTA PRIUS 1,55054,JTDKN3DU6D5562714,,,,,LEXUS OF CONCORD,"$14,000 ","2101 Market St Concord, CA 94520",(925) 682-3033,,,,
8,2014,FORD FUSION FWD 4C SE,24118,3FA6P0LU3ER207841,,,,,SOCAL MOTORS,"$14,400 ","5391 Holt Blvd Montclair, CA 91763",(909) 625-2800,,,,
9,2014,FORD FOCUS SE,30978,1FADP3K26EL156441,PREMIER HYUNDAI OF OAKLAND,"$8,500 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PANDA MOTORS INC,"$8,900 ","10371 Beach Boulevard  Stanton, CA 90680",(714) 947-1900,,,,
10,2014,FORD FIESTA SE,36595,3FADP4BJ0EM190919,BILL LUKE FIAT,"$7,400 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,PREMIER HYUNDAI OF OAKLAND,"$7,500 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
,,,,,PREMIER HYUNDAI OF OAKLAND,"$7,500 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,,,,,
11,2014,FORD FUSION FWD 4C SE,41054,3FA6P0H74ER177218,PREMIER HYUNDAI OF OAKLAND,"$11,900 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$11,900 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
12,2013,FORD FIESTA SE,16783,3FADP4BJ8DM208100,,,,,PANDA MOTORS INC,"$7,100 ","10371 Beach Boulevard  Stanton, CA 90680",(714) 947-1900,,,,
13,2015,CHEVROLET TAHOE 4X4 LT,19990,1GNSKBKC0FR516800,OFF LEASE ONLY INC,"$36,900 ",N/A,N/A,OFF LEASE ONLY INC,"$36,900 ",N/A,N/A,,,,
14,2013,FORD FUSION FWD 4C SE,22613,3FA6P0HRXDR291644,FORD OF KIRKLAND,"$13,900 ","11800 124th Ave NE, Kirkland, WA 98034,",+1 425-821-6611,ATLAS AUTOMOTIVE,"$14,200 ","4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257,,,,
,,,,,ATLAS AUTOMOTIVE,"$14,200 ","4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257,,,,,,,,
15,2013,LINCOLN MKS FWD V6,23276,1LNHL9DK7DG605684,,,,,CARMAX # 7136,"$19,600 ","1131 Central Ave Duarte, CA 91010",(626) 357-9972,,,,
16,2013,FORD FIESTA S,23641,3FADP4TJ9DM220674,,,,,PANDA MOTORS INC,"$6,000 ","10371 Beach Boulevard  Stanton, CA 90680",(714) 947-1900,,,,
17,2015,CHEVROLET SUBURBAN 4X4 LTZ,15284,1GNSKKKC2FR538023,SPECK HYUNDAI OF TRI-CITIES,"$55,100 ","1002 North Road 28 Pasco, WA 99301",(509) 542-0234,SPECK HYUNDAI OF TRI-CITIES,"$55,100 ","1002 North Road 28 Pasco, WA 99301",(509) 542-0234,,,,
,,,,,KENTSON CAR COMPANY,"$55,000 ","2450 S 500 W Bountiful, UT 84010",(801) 936-1886,,,,,,,,
18,2014,VOLKSWAGEN PASSAT 4C WOLFSBURG,24716,1VWAT7A34EC089880,2017 ECARS,"$11,000 ",NA,NA,2017 ECARS,"$11,000 ",NA,NA,,,,
19,2015,TOYOTA COROLLA LE,22371,5YFBURHE6FP234529,PREMIER HYUNDAI OF OAKLAND,"$13,000 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$13,000 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
20,2015,TOYOTA COROLLA LE,21685,5YFBURHE3FP243222,,,,,LEXUS OF CONCORD,"$13,000 ","2101 Market St Concord, CA 94520",(925) 682-3033,,,,
21,2013,FORD F150 4X2 CR XLT,30855,1FTFW1CF7DKD82357,,,,,PANDA MOTORS INC,"$22,000 ","10371 Beach Boulevard  Stanton, CA 90680",(714) 947-1900,,,,
22,2013,CHEVROLET 1500 SUB 4X4 V8 LTZ,68677,1GNSKKE76DR287129,FORD OF KIRKLAND,"$30,300 ","11800 124th Ave NE, Kirkland, WA 98034,",+1 425-821-6611,HERTZ CAR SALES,"$30,400 ","4401 Stevens Creek Blvd Santa Clara, CA 95051",(877) 244-6782,,,,
,,,,,DRIVE WITH PRIDE INC,"$30,000 ","9731 Southwest Fwy Houston, TX 77074",(800) 844-9959,,,,,,,,
23,2015,TOYOTA COROLLA LE PLUS,17029,5YFBURHE1FP243932,,,,,PIERCEY SCION,"$13,000 ","950 Thompson St.  Milpitas, CA 95035",888-658-5591,,,,
24,2013,FORD C-MAX ENERGI SEL,77861,1FADP5CU7DL507688,,,,,KARPLUS WAREHOUSE INC,"$11,000 ","10103 San Fernando Rd Pacoima, CA 91331",(888) 379-8896,,,,
25,2013,FORD EDGE AWD V6 SEL,36437,2FMDK4JC3DBB54309,,,,,UNKNOWN ,"$21,700 ",NA,NA,,,,
26,2013,FORD FUSION FWD 4C SE,39134,3FA6P0HR5DR157138,,,,,MILITARY AUTO CENTER,"$13,300 ","9323 Activity Rd San Diego, CA 92126",(858) 905-5170,,,,
27,2013,FORD F150 4X2 EX XLT,41519,1FTFX1CFXDFA61466,PORTERVILLE FORD,"$18,200 ","701 N Main St Porterville, CA 93257",(559) 784-6000,LEXUS OF CONCORD,"$18,800 ","2101 Market St Concord, CA 94520",(925) 682-3033,,,,
28,2013,FORD FIESTA SE,43849,3FADP4BJXDM119354,2017 ECARS,"$6,500 ",NA,NA,MYCARHYBRID.COM,"$6,600 ","8575 Miramar Pl San Diego, CA 92121",(619) 717-2127,,,,
29,2014,FORD FOCUS SE,35430,1FADP3K27EL272795,PREMIER HYUNDAI OF OAKLAND,"$9,500 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$9,500 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
