S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2011,FORD FIESTA FWD SE,78644,3FADP4BJ0BM119263,,,,,CACTUS JACKS AUTO SALES,"$6,900 ","1660 W Bell Rd Phoenix, AZ 85023",(602) 788-8300,,,,
2,2007,LEXUS IS 250 4X2,138782,JTHBK262475035286,BALLERS,"$8,100 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,,,,,AUTO MART USA,"$8,500 ","4199 Union Ave Bakersfield, CA 93305",(661) 864-7990
,,,,,GRAND AUTOLAND,"$5,200 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,,,,,,,,
,,,,,AUTO MART USA,"$8,500 ","4199 Union Ave Bakersfield, CA 93305",(661) 864-7990,,,,,,,,
3,2001,TOYOTA HIGHLNDR FWD 4C,181031,JTEGD21A410006970,BASSET MOTOR  SALES,"$3,000 ","13165 Valley Blvd La Puente, CA 91746 ",626-968-2809,BASSET MOTOR  SALES,"$3,000 ","13165 Valley Blvd La Puente, CA 91746 ",626-968-2809,,,,
4,2003,FORD EXPEDIT 4X2 V8 ED BAUER,134804,1FMRU17WX3LA78554,DESERT IMPORT/EXPORT AUTO SALES,"$2,200 ","74990 Joni Dr Unit 1F Palm Desert, CA 92260",(760) 895-5285,DESERT IMPORT/EXPORT AUTO SALES,"$2,200 ","74990 Joni Dr Unit 1F Palm Desert, CA 92260",(760) 895-5285,,,,
5,2002,CADILLAC DEVILLE,96968,1G6KD54Y72U264096,,,,,TEULITOS ENTERPRISES INC,$650 ,"1655 E 6th St Corona, CA 92879",Not applicable,,,,
6,2007,FORD EXP SPT 4X2 SUV LIMITED,174171,1FMEU33807UB18030,,,,,AUTOMOTRIZ MICHOACAN,"$7,500 ","1341 N Mt Vernon Colton Ca Colton, CA 92324",(909) 206-1420,,,,
7,2012,FORD FIESTA FWD SE,76496,3FADP4BJ3CM164702,BEST AUTO RECOVERY AND SALES,"$4,300 ","6704 NE 175th St, Kenmore, WA 98028",(425) 482-6707,,,,,,,,
8,2006,LINCOLN ZEPHYR,156016,3LNHM26126R635678,,,,,DIAMOND AUTO SALES INC,"$2,300 ","1801 Park St Alameda, CA 94501",(510) 864-1000,,,,
9,2005,FORD F150 4X2 CR XLT,188753,1FTPW12585KB73207,B & S AUTO SALES INC,"$4,900 ","2500 W Orangethorpe Ave, Fullerton, CA 92833",(714) 525-5033,JOHNNYS MOTORS INC,"$5,000 ","1635 W 5th St Santa Ana, CA 92703",(714) 540-1488,,,,
10,2006,FORD MUSTANG V8 CNV GT,77186,1ZVHT85H465168739,,,,,SELECTIVE MOTORS SALES & LEASING,"$6,500 ","7905 Van Nuys Blvd Ste Q Van Nuys, CA 91402",(818) 697-2946,,,,
11,1997,NISSAN SENTRA GXE,150589,1N4AB41D9VC774749,,,,,L A AUTO EMPORIUM INC,$850 ,"8917 State St South Gate, CA 90280",(323) 249-5161,,,,
12,2002,HONDA CR-V FWD LX,181011,JHLRD68482C022175,,,,,AUTOMART AUCTIONS,"$2,400 ","952 Roswell St S Marietta, GA 30060",(770) 590-6005,,,,
13,2005,FORD 350 DRW 4X2 CR XL,102195,1FTWW32PX5EA25180,,,,,KARPLUS WAREHOUSE INC,"$11,100 ","10103 San Fernando Rd Pacoima, CA 91331",(888) 379-8896,,,,
14,2005,FORD TAURUS SEL,131136,1FAFP56275A269941,,,,,TRADERS IMPORTS,"$1,100 ","7693 Liberty Avenue Huntington Beach, CA 92647",714-390-6020,,,,
15,2000,HONDA CR-V 4X4 EX,174309,JHLRD1869YS021037,,,,,D & A AUTO SALES,"$1,700 ","19060 Valley Blvd Bloomington, CA 92316",(909) 874-0567,,,,
16,2005,JEEP CHEROKEE 4X4 V8 LIMITED,108848,1J8HR58N25C575513,,,,,D & A AUTO SALES,"$7,500 ","19060 Valley Blvd Bloomington, CA 92316",(909) 874-0567,,,,
17,2002,FORD EXCURS 4X4 V10 XLT,115346,1FMNU41S52EC84342,LIBERTY CARS AND TRUCKS,"$6,600 "," 600 Freeman Ln, Grass Valley, CA 95949",+1 530-477-5454,SNYDER MOTORS INC,"$6,700 ","5248 Jackrabbit Ln Belgrade, MT 59714",(406) 388-2771,,,,
