S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2008,FORD F150 4X2 RG XLT,102074,1FTRF12V68KD27426,DESERT IMPORT/EXPORT AUTO SALES,"$3,000 ","74990 Joni Dr Unit 1F Palm Desert, CA 92260",(760) 895-5285,,,,,DESERT IMPORT/EXPORT AUTO SALES,"$3,000 ","74990 Joni Dr Unit 1F Palm Desert, CA 92260",(760) 895-5285
2,2011,KIA OPTIMA,64934,KNAGM4AD7B5007946,IMOTORS LA,"$9,400 ","2400 Firestone Blvd South Gate, CA 90280",(323) 567-1500,,,,,IMOTORS LA,"$9,400 ","2400 Firestone Blvd South Gate, CA 90280",(323) 567-1500
3,2009,JEEP WRANGLER SAHARA,103026,1J8FA54179L710380,IMOTORS LA,"$14,100 ","2400 Firestone Blvd South Gate, CA 90280",(323) 567-1500,,,,,IMOTORS LA,"$14,100 ","2400 Firestone Blvd South Gate, CA 90280",(323) 567-1500
4,2012,BMW 335IS CPE 335IS,93186,WBAKG1C56CE618798,IMOTORS LA,"$19,250 ","2400 Firestone Blvd South Gate, CA 90280",(323) 567-1500,,,,,,,,
5,2007,CHEVROLET TAHOE 4X2 V8 LS,89388,1GNFC13C67R365440,IMOTORS LA,"$11,000 ","2400 Firestone Blvd South Gate, CA 90280",(323) 567-1500,,,,,,,,
6,2009,CADILLAC ESCAL ESV AWD,101885,1GYFK16279R213131,IMOTORS LA,"$21,250 ","2400 Firestone Blvd South Gate, CA 90280",(323) 567-1500,,,,,,,,
7,2008,HONDA CR-V FWD EX-L,73059,JHLRE38738C044194,PRECISION INCORPORATED,"$11,700 ",N/A,N/A,HONDA OF MARYSVILLE,"$11,800 ",NA,NA,,,,
,,,,,HONDA OF MARYSVILLE,"$11,800 ",NA,NA,,,,,,,,
,,,,,EM MOTORS,"$10,900 ","7400 W State St Boise, ID 83714",(208) 853-2886,,,,,,,,
8,2009,LINCOLN TOWN CAR SIG LTD,81197,2LNHM82V89X636013,,,,,SHICK AUTOMOTIVE INC,"$8,000 ","9459 Sepulveda Blvd North Hills, CA 91343",(818) 892-7000,,,,
9,2001,FORD F150 4X2 RG,153829,1FTZF17271KF82722,,,,,WWRA,"$1,500 ","10870 Lovett Rd Baton Rouge, LA 70818",(225) 261-2837,,,,
10,2006,FORD FREESTAR,206294,2FMDA51656BA45548,,,,,BEST NEW YORK CORP,$850 ,NA,NA,,,,
11,2001,MAZDA MPV,135717,JM3LW28Y410199063,,,,,A & A CARS,"$1,250 ","1760 Long Beach Blvd, Long Beach, CA 90813",844-327-5918,,,,
12,2009,SCION TC,88304,JTKDE167790291695,RAINIER AUTO GROUP LLC,"$5,900 ","4326 S Tacoma Way Tacoma, WA 98409",(253) 212-0583,JD MOTORS,"$6,900 ","7529 Foothill Blvd., Tujunga, CA 91042",(818) 588-7410,,,,
13,2004,MERCEDES CLK500A,68322,WDBTK75G34T007730,DESERT AUTO DEALER,"$7,300 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,DESERT AUTO DEALER,"$7,300 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,,,,
14,2001,MERCURY VILLAGER,118538,4M2ZV11T31DJ09225,,,,,DESERT WHOLESALE,"$2,400 ","9424 Hesperia Rd Hesperia, CA 92345",(760) 948-9495,,,,
15,2008,HYUNDAI SANTA FE FWD V6 GL,125958,5NMSG13DX8H174565,,,,,CARMAX # 7136,"$4,800 ","1131 Central Ave Duarte, CA 91010",(626) 357-9972,,,,
16,2003,FORD F250 4X4 EX LARIAT,77634,3FTNX21L43MB21380,DESERT AUTO DEALER,"$3,900 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,D & E AUTO SALES,"$4,150 ",N/A,N/A,,,,
,,,,,CAR 1234 INC,"$4,100 ","982 Broadway El Cajon, CA 92021",(619) 647-4841,,,,,,,,
17,2012,FORD TRANS CON WAGON,119628,NM0KS9CN4CT093054,,,,,SHICK AUTOMOTIVE INC,"$6,600 ","9459 Sepulveda Blvd North Hills, CA 91343",(818) 892-7000,,,,
18,2002,BMW 325XIT,134603,WBAEP334X2PF00405,RAINIER AUTO GROUP LLC,"$4,300 ","4326 S Tacoma Way Tacoma, WA 98409",(253) 212-0583,RAINIER AUTO GROUP LLC,"$4,300 ","4326 S Tacoma Way Tacoma, WA 98409",(253) 212-0583,,,,
,,,,,ROLLING MOTORS,"$3,500 ","611 El Camino Real San Bruno, CA 94066",(650) 491-0028,,,,,,,,
,,,,,CAVE MOTORSPORTS,"$3,400 ",NA,NA,,,,,,,,
19,2005,GMC 1500 YUK XL 4X4 SLT,194240,3GKFK16Z55G155232,,,,,P AND P MOTORS LLC,"$2,950 ","13516 Telegraph Rd suite D, Whittier, CA 90605",(562) 944-1740,,,,
20,2006,DODGE GRAND CARAV V6 SXT,113955,2D4GP44L46R715550,,,,,,,,,GEM STATE AUTO,"$1,900 ","6630 W State St Boise, ID 83714",(208) 968-7787
21,2006,CADILLAC DTS,102676,1G6KD57Y06U117605,,,,,DESERT WHOLESALE,"$3,500 ","9424 Hesperia Rd Hesperia, CA 92345",(760) 948-9495,,,,
22,2006,ACURA RSX TYPE-S,138653,JH4DC53076S001207,GOLDEN AUTO GROUP INC,"$4,700 ","1386 White Oaks Rd, Campbell, CA 95008",(408) 377-4900,BLVD MOTORCARS,"$5,100 ","7166 Foothill Blvd Los Angeles, CA 91042",(818) 951-0101,,,,
,,,,,BLVD MOTORCARS,"$5,100 ","7166 Foothill Blvd Los Angeles, CA 91042",(818) 951-0101,,,,,,,,
23,2002,FORD EXPEDITION 4X2 XLT,0,1FMRU15L02LA38233,,,,,,,,,BARBAS AUTO INC,$600 ,"1655 E 6th St Corona, CA 92879",Not mentioned
24,2005,JEEP LIBERTY 4X2 V6 LIMITED,95671,1J4GK58K85W577028,,,,,AUTOHAUS INC,"$4,100 ",Not applicable,Not applicable,,,,
25,2007,AUDI A4 FWD 4C 2.0T,141493,WAUAF78E57A106926,,,,,,,,,CRUISE AUTOS,"$2,000 ","501 Railroad St, Corona, CA 92882",888-452-3745
26,2010,TOYOTA SEQUOIA 4X2 V8 LIMITED,97742,5TDKY5G10AS030353,,,,,,,,,AMC AUTO SALES,"$20,500 ","38395 Mission Blvd, Fremont, CA 94536",+1 510-791-0900
27,2008,DODGE RAM 1500 4X2 V8 SLT,100297,1D7HA18288J113444,,,,,,,,,K/J AUTO EXCHANGE,"$10,800 ","2430 Tapo St Simi Valley, CA 93063",(805) 527-5265
28,2003,FORD EXPEDIT 4X2 V8 XLT POP,108244,1FMRU15W83LB58986,,,,,,,,,AUTO ACTION,"$3,000 ","5801 Fairmount Ave San Diego, CA 92120",(619) 281-3333
29,2008,FORD MUSTANG V6 CNV,66447,1ZVHT84N485185258,DESERT AUTO DEALER,"$4,600 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,,,,,DESERT AUTO DEALER,"$4,600 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300
30,2008,CHEVROLET TRAILBLZ 4X2 V8 1SS,81573,1GNES13H382120907,HAYWARD MITSUBISHI,"$15,500 ","25601 Mission Blvd Hayward, CA 94544",(510) 999-5999,,,,,HAYWARD MITSUBISHI,"$15,500 ","25601 Mission Blvd Hayward, CA 94544",(510) 999-5999
31,2011,AUDI A6 AWD V6 3.0T PRM +,91822,WAUFGAFB8BN058395,,,,,,,,,SOCAL MOTORS,"$13,500 ","5391 Holt Blvd Montclair, CA 91763",(909) 625-2800
32,2013,HONDA CIVIC LX,29691,2HGFG3B57DH521994,,,,,PANDA MOTORS INC,"$9,000 ","10371 Beach Boulevard  Stanton, CA 90680",(714) 947-1900,,,,
33,2007,SATURN VUE FWD 4C,110986,5GZCZ33Z37S875195,IM TRADE,"$2,600 ",NA,NA,OSO AUTOS,"$2,700 ",NA,NA,,,,
34,2008,DODGE RAM 1500 4X2 V8 SLT,97649,1D7HA18218S514392,,,,,SOCAL MOTORS,"$10,300 ","5391 Holt Blvd Montclair, CA 91763",(909) 625-2800,,,,
35,2005,CHRYSLER PACIFICA FWD V6 TOURING,171806,2C4GM68485R273133,,,,,J/S AUTO CENTER,"$1,000 ","8807 Sierra Ave Fontana, CA 92335-8650",(909) 822-3055,,,,
36,2009,CHEVROLET HHR LT,129501,3GNCA23B59S537009,,,,,AUTO NATIX,"$3,300 ","26260 N. Mooney Blvd Tulare, CA 93274",(559) 622-8600,,,,
37,2006,FORD 350 SRW 4X2 RG XL,137050,1FTSF30586EB79680,,,,,BULLDOG MOTORS LLC,"$5,000 ","5832 Autoport Mall San Diego,  CA  92121-2514",(858) 689-8900,,,,
38,2005,DODGE STRATUS V6 SXT,79824,1B3EL46T65N643776,,,,,GEM STATE AUTO,"$1,450 ","6630 W State St Boise, ID 83714",(208) 968-7787,,,,
39,2002,FORD EXCURS 4X2 V8 XLT,185560,1FMNU40L42EB16542,,,,,BARBAS AUTO INC,"$1,600 ","1655 E 6th St Corona, CA 92879",Not mentioned,,,,
40,2014,SCION TC,36492,JTKJF5C74E3074240,,,,,,,,,PANDA MOTORS INC,"$11,500 ","10371 Beach Boulevard  Stanton, CA 90680",(714) 947-1900
41,2011,CHEVROLET 1500 SLV 4X4 CR LT,86415,3GCPKSE34BG347918,,,,,SOCAL MOTORS,"$21,500 ","5391 Holt Blvd Montclair, CA 91763",(909) 625-2800,,,,
42,2006,GMC SIERA 25 4X4 CR WORK TRUCK,166499,1GTHK23UX6F268065,,,,,ASAY'S AUTOS LLC,"$9,500 ",not applicable,not applicable,,,,
43,2011,FORD FUSION FWD 4C SE,81581,3FAHP0HA4BR239152,DRIVETIME,"$7,700 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,CLAY COOLEY MITSUBISHI,"$8,400 ","1480 W Interstate 20, Arlington, TX 76017",(817) 375-2626,,,,
,,,,,CLAY COOLEY MITSUBISHI,"$8,400 ","1480 W Interstate 20, Arlington, TX 76017",(817) 375-2626,,,,,,,,
44,2010,KIA FORTE EX,58727,KNAFU4A28A5065928,LOMPAC HONDA,"$6,400 ","1224 N H St Lompoc, CA 93436",(805) 736-4595,CARMAX # 7136,"$7,000 ","1131 Central Ave Duarte, CA 91010",(626) 357-9972,,,,
,,,,,STREAMLINE AUTO,"$6,500 ","1175 Industrial Ave Unit O Escondido, CA, CA 92029",(951) 695-5402,,,,,,,,
45,2004,CHEVROLET AVALANCH 4X4 CR Z71,93833,3GNEK12T84G102409,5 GRAND AUTOLAND,"$8,600 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,,,,,CAMACHO AUTO SALES INC,"$9,000 ","44446 N Sierra Hwy,Lancaster, CA 93534",(661) 945-2609
46,2010,CHRYSLER TOWN & COUNTRY TOURING,46559,2A4RR5D16AR480088,FREEDOM MOTORS USA INC,"$8,100 ","740 Watkins Rd Battle Creek, MI 49015",(888) 625-6335,,,,,,,,
,,,,,BESTWAY AUTO/TRUCK RENTAL SALES/LEASING,"$8,200 ","24076 Creekside Rd, Valencia, CA 91355",(661) 254-2600,,,,,,,,
47,2011,AUDI Q7 3.0T PRM +,67080,WA1LGAFE1BD005537,PENEGON MISSION VIEJO INC,"$26,250 ","1455 Auto Mall Dr,  Santa Ana, CA 92705",(949) 365-8750,,,,,PENEGON MISSION VIEJO INC,"$26,250 ","1455 Auto Mall Dr,  Santa Ana, CA 92705",(949) 365-8750
48,2000,SATURN LS1,169850,1G8JU52F3YY676960,,,,,GEM STATE AUTO,$650 ,"6630 W State St Boise, ID 83714",(208) 968-7787,,,,
49,1997,FORD RANGER 4X2 REG XLT,327308,1FTCR10A5VPA20681,,,,,DESERT WHOLESALE,$600 ,"9424 Hesperia Rd Hesperia, CA 92345",(760) 948-9495,,,,
50,1998,TOYOTA CAMRY LE,193533,JT2BG22K5W0248485,,,,,STAR MOTORS,"$1,000 ","32955 Calle Perfecto,San Juan Capistrano, CA 92675",(949) 443-1970,,,,
51,1997,ACURA CL 4C,170130,19UYA124XVL020317,,,,,DESERT WHOLESALE,"$1,300 ","9424 Hesperia Rd Hesperia, CA 92345",(760) 948-9495,,,,
52,2006,NISSAN ALTIMA 4C 2.5 S,194449,1N4AL11D76N434596,,,,,D AUTO MAN,"$1,300 ","17933 Valley Blvd, Bloomington, CA 92316",(909) 341-5206,,,,
53,2005,KIA SPECTRA EX,60445,KNAFE122855158853,,,,,DORADO MOTORS INC,"$2,100 ","350 Arden Avenue # 102 Glendale, CA 91203",(818) 903-1209,,,,
54,2004,CHEVROLET TRAILBLZ 4X4 6C EXT LS,156339,1GNET16S446115786,,,,,DESERT WHOLESALE,"$2,700 ","9424 Hesperia Rd Hesperia, CA 92345",(760) 948-9495,,,,
55,2008,TOYOTA PRIUS BASE,217378,JTDKB20U387811585,,,,,GORDON'S AUTO SALES,"$2,800 ","15944 Valley Blvd Fontana, CA 92335",(909) 434-0650,,,,
56,2009,TOYOTA YARIS S,93973,JTDBT903391308754,,,,,MAGIC AUTO CENTER OF RESEDA,"$5,300 ","6360 Reseda Blvd Tarzana, CA 91335",(818) 881-6999,,,,
57,2008,TOYOTA PRIUS BASE,237148,JTDKB20U383342506,GLORIOUS MOTORS CORP,"$2,400 ","8176 Miramar Rd, San Diego, CA 92126",(858) 695-9051,GLORIOUS MOTORS CORP,"$2,400 ","8176 Miramar Rd, San Diego, CA 92126",(858) 695-9051,,,,
58,1994,FORD TRUCK RANGER SUPER XLT,137507,1FTCR14X2RPA86710,COWBOYS CARS,$800 ,"615 W Arrow Hwy Glendora, CA 91740",(626) 343-9029,COWBOYS CARS,$800 ,"615 W Arrow Hwy Glendora, CA 91740",(626) 343-9029,,,,
59,2008,JEEP PATRIOT FWD 4C SPORT,99936,1J8FT28038D735408,EMPIRE MOTORS,"$4,000 ","236 S Oxnard Blvd Oxnard, CA 93030",(805) 486-6424,EMPIRE MOTORS,"$4,000 ","236 S Oxnard Blvd Oxnard, CA 93030",(805) 486-6424,,,,
,,,,,CARS DIRECT INC,"$3,900 ","1716 E Fremont St Las Vegas, NV 89101",(702) 382-5623,,,,,,,,
60,2008,SCION XB,152006,JTLKE50E081018981,,,,,RAMS AUTO SERVICES INC,"$3,900 ","4520 Joslyn Rd, Lake Orion, MI 48359",(248) 391-4786,,,,
61,2008,SATURN VUE FWD V6 XR,132683,3GSCL53798S526758,,,,,AUTO NATIX,"$3,400 ","26260 N. Mooney Blvd Tulare, CA 93274",(559) 622-8600,,,,
62,2006,FORD MUSTANG V6 CPE PREMIUM,116702,1ZVFT80N465183388,,,,,XST MOTORSPORTS INC,"$6,700 ","7211 Haven Ave 321 Rancho Cucamonga, California 91701-6064",(909) 322-2460,,,,
63,2005,MERCEDES S500V,135316,WDBNG75J55A438170,MILLENNIUM AUTO SALES INC,"$3,300 ","5825 Watt Ave Ste B2 North Highlands, CA 95660",916-494-2402,,,,,EDDIES AUTO SALES,"$3,400 ","7905 Van Nuys Blvd. # V Los Angeles, CA 91402",(818) 201-8682
64,1999,CHEVROLET CORVETTE,130912,1G1YY22G3X5127509,GLENDORA MOTORCARS,"$5,500 ","612 E Rt 66 Glendora, CA 91740",(626) 335-0555,GALAN AUTO SALES,"$6,200 ","15633 Temple Ave La Puente, CA 91744",(877) 422-5212,,,,
65,2005,DODGE RAM 1500 4X2 V8 SLT,94944,1D7HA18D35S263176,,,,,SOCAL MOTORS,"$9,200 ","5391 Holt Blvd Montclair, CA 91763",(909) 625-2800,,,,
66,2012,HYUNDAI AZERA,66028,KMHFG4JG4CA167108,,,,,,,,,THE MOTOR CAR GROUP INC,"$12,500 ","765 E Sycamore St Anaheim, CA 92805",(714) 780-0056
67,2009,DODGE JOURNEY FWD V6 SXT,0,3D4GG57V29T238881,,,,,,,,,EVERGREEN AUTO SALES,"$5,000 ","11771 Washington Blvd Whittier, CA 90606",(562) 698-4002
