S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2006,BMW 530XI,117525,WBANF735X6CU19272,,,,,LA CAR GALLERY LLC,"$7,100",,,,,,
2,2006,BMW Z4 3.0SI 3.0SI,105253,4USDU53446LF77183,COUGAR AUTO SALES,"$9,250",,,H D A AUTO,"$13,250",,,,,,
,,,,,ST MINA AUTO SALES,"$11,750",,,,,,,,,,
,,,,,H D A AUTO,"$13,250",,,,,,,,,,
,,,,,CARMA,"$12,000",,,,,,,,,,
3,2008,JEEP PATRIOT FWD 4C LIMITED,38019,1J8FT48W38D534818,,,,,ROSE MOTORCARS,"$8,700",,,,,,
4,2003,JEEP WRANGLER 6C SPORT,125854,1J4FA49S13P343067,SELECT JEEPS INC,"$10,100",,,SELECT JEEPS INC,"$10,100",,,,,,
,,,,,CASTLE AUTO GROUP,"$8,250",,,,,,,,,,
5,2008,FORD EXP SPT 4X2 V8 XLT,102511,1FMEU31878UA47879,CAR AVE ,"$10,700",,,KLASS MOTORS,"$11,400",,,,,,
6,2013,FORD FOCUS SE,27959,1FADP3F23DL233310,INFINITY MOTORS,"$9,000",,,20TH CENTURY ENTERPRISES,"$9,400",,,,,,
7,2006,HONDA S2000,84938,JHMAP21406S004591,,,,,RIVERSIDE PREMIER MOTORS,"$15,600",,,,,,
8,2005,LEXUS RX 330 FWD,91858,2T2GA31U15C031331,,,,,DELUXE AUTO DEALER LLC,"$9,200",,,,,,
9,2013,AUDI A3 FWD PREMIUM,20725,WAUBEAFM8DA009830,AUTO ONE,"$17,250",,,AUTO ONE,"$17,250",,,,,,
10,2006,BMW Z4 M M,18359,5UMBT93556LE89769,VOLKSWAGEN OF MURRIETA,"$22,000",,,BMW OF MONROVIA,"$22,750",,,,,,
,,,,,BMW OF MONROVIA,"$22,750",,,,,,,,,,
11,2013,NISSAN PATHFIND FWD S,49532,5N1AR2MN1DC620030,MOSSY NISSAN EL CAJON,"$16,000",,,STADIUM NISSAN,"$16,250",,,,,,
12,2008,ACURA TSX,25950,JH4CL96858C011235,,,,,AUTO CITY SALES,"$14,400",,,,,,
