S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
11,2013,FORD TAURUS FWD V6 SEL,70117,1FAHP2E81DG105724,UNITED VEHICLES IMPORT,"$11,000 ","325 Saratoga Ave San Jose, CA 95129",(888) 378-5558,STUNNING AUTO,"$11,250 ","2015 Marconi Ave Sacramento, CA 95821",(916) 802-1447,,,,
,,,,,STUNNING AUTO,"$11,250 ","2015 Marconi Ave Sacramento, CA 95821",(916) 802-1447,,,,,,,,
12,2014,FORD MUSTANG V6 CPE,14552,1ZVBP8AM7E5327667,CREST NISSAN OF FRISCO,"$15,250 ","6600 State Hwy 121 Frisco, TX 75034",(855) 978-7941,,,,,CREST NISSAN OF FRISCO,"$15,250 ","6600 State Hwy 121 Frisco, TX 75034",(855) 978-7941
13,2013,FORD EXPLORER FWD V6 BASE,19741,1FMK7B80DGC83164,MARK KIA,"$20,000 ","1000 N Scottsdale Rd Scottsdale, AZ 85257",(480) 425-5300,CARMAX # 7129,"$20,500 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
,,,,,CAPISTRANO VOLKSWAGEN,"$19,250 ","32922 Valle Rd San Juan Capistrano, CA 92675",(866) 925-1603,,,,,,,,
14,2015,DODGE DART SXT,11425,1C3CDFBB2FD351663,,,,,,,,,CARMAX # 7129,"$11,750 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
15,2011,DODGE GRAND CARAVAN SE,72156,2D4RNDG5BR752702,,,,,PAUL BLANCOS GOOD CAR COMPANY,"$8,000 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
16,2013,DODGE GRAND CARAVAN SE,89763,2C4RDGBG5DR762122,,,,,PAUL BLANCO'S GOOD CAR COMPANY INLAND EMPIRE,"$9,000 ","8205 Indiana St Riverside, CA 92504",(951) 373-5300,,,,
17,2014,DODGE GRAND CARAVAN SXT,79262,2C4RDGCGXER315415,,,,,PAUL BLANCOS GOOD CAR COMPANY,"$11,000 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
18,2012,DODGE GRAND CARAVAN SXT,80963,2C4RDGCG2CR309940,,,,,EVERGREEN AUTO SALES,"$7,500 ","11771 Washington Blvd Whittier, CA 90606",(562) 698-4002,,,,
19,2014,CHEVROLET CAMARO V6 LT,29528,2G1FC1E31E9183375,,,,,,,,,CARMAX # 7129,"$20,500 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
20,2014,CHEVROLET CAMARO V6 LT,39939,2G1FC1E32E9175964,,,,,,,,,SOUTHERN FINANCIAL,"$16,000 ",NA,NA
21,2013,CHEVROLET EQUINOX FWD V6 LT,76465,2GNFLDE31D6184624,SIERRA AUTO CENTER,"$12,250 ","4175 N Blackstone Ave Fresno, CA 93726",(559) 228-8700,PAUL BLANCO'S GOOD CAR COMPANY INLAND EMPIRE,"$12,500 ","8205 Indiana St Riverside, CA 92504",(951) 373-5300,,,,
22,2013,CHEVROLET MALIBU LS,30411,1G11A5SAXDF320748,,,,,PAUL BLANCO'S GOOD CAR COMPANY ,"$11,000 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
23,2013,CHEVROLET SONIC LT,81219,1G1JC5SG2D4103396,,,,,DRIVETIME,"$6,250 ","18313 Hawthorne Blvd Torrance, CA 90504",(310) 793-1666,,,,
24,2013,CHEVROLET SPARK LS,62929,KL8CB6S97DC525995,,,,,PAUL BLANCOS GOOD CAR COMPANY,"$5,000 ","2200 Fulton Ave Sacramento, CA 95825",(916) 485-2277,,,,
25,2012,CHEVROLET VOLT,66237,1G1RE6E44CU122292,ANAHEIM PRE OWNED CARS,"$10,000 ","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,CHEVROLET OF GLENDORA,"$10,500 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,,,,
,,,,,CHEVROLET OF GLENDORA,"$10,500 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,,,,,,,,
26,2012,GMC ACADIA AWD SLT1,32152,1GKKVREDXCJ249970,,,,,CARMAX # 7129,"$25,500 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
27,2015,GMC CANYON 4X2 EX,9565,1GTH5AE38F1145383,MARTINEZ USED CARS INC,"$20,750 ","314 Lander Ave Turlock, CA 95380",(209) 634-4496,MARTINEZ USED CARS INC,"$20,750 ","314 Lander Ave Turlock, CA 95380",(209) 634-4496,,,,
28,2010,BMW 335CI 335 CI,52588,WBAWL7C50AP476319,D & C MOTORZ INC,"$16,750 ","2627 SE Holgate Blvd, Portland, OR 97202",(503) 719-5038,CARMAX # 7129,"$17,500 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
29,2013,CADILLAC CTS 4X2 V6 LUXURY,36325,1G6DE5E58D0113966,MARK KIA,"$16,750 ","1000 N Scottsdale Rd Scottsdale, AZ 85257",(480) 425-5300,MARK KIA,"$16,750 ","1000 N Scottsdale Rd Scottsdale, AZ 85257",(480) 425-5300,,,,
30,2009,INFINITI G37 4X2,76812,JNKCV61E49M311706,WOO CONSOLIDATED LLC,"$12,250 ",NA,NA,WOO CONSOLIDATED LLC,"$12,250 ",NA,NA,,,,
31,2008,LAND ROVER RANGE ROVER SPORT S/C,93336,SALSH23498A167449,,,,,,,,,PCH PRE OWNED CO,"$12,000 ","1940 Pacific Coast Hwy, Lomita, CA 90717",888-350-4464
32,2005,LEXUS SC 430,79736,JTHFN48YX50064761,HILINE MOTORSPORTS LLC,"$7,500 ","1162 Suncast Ln Ste 108 El Dorado Hills, CA 95762",(916) 404-3922,,,,,HILINE MOTORSPORTS LLC,"$7,500 ","1162 Suncast Ln Ste 108 El Dorado Hills, CA 95762",(916) 404-3922
,,,,,NIKU ENTERPRISE,"$7,250 ",NA,NA,,,,,,,,
33,2004,MERCEDES SL500R,63422,WDBSK7514F085747,ASH AUTO GROUP LLC,"$12,000 ","7363 E Adobe Dr, Scottsdale, AZ 85255",877-468-7112,,,,,PRIVATE COLLECTION MOTORS INC,"$12,000 ","849 W 18th St Ste B Costa Mesa, CA 92627",(949) 791-2167
34,2012,MERCEDES S350BTC4 3.0L BLUE,69852,WDDNG8DB6CA448615,,,,,,,,,PRIVATE COLLECTION MOTORS INC,"$26,000 ","849 W 18th St Ste B Costa Mesa, CA 92627",(949) 791-2167
35,2007,MERCEDES CLS550C,86627,WDDDJ72X07A103852,,,,,,,,,STATEWIDE,"$13,000 ","12039 Branford St Sun Valley, CA 91352 Pacoima",(818) 897-1009
36,2010,MERCEDES GLK350W4 GLK 350,91557,WDCGGBHB5AF267321,COAST SPORTS CARS INC,"$12,250 ","2680 Garnet Ave San Diego, CA 92109",1 858 270 1700,,,,,STATEWIDE,"$14,500 ","12039 Branford St Sun Valley, CA 91352 Pacoima",(818) 897-1009
,,,,,M & I IMPORTS INC,"$12,500 ","2772 Skokie Valley Road Highland Park, IL 60035",(847) 266-9200,,,,,,,,
37,2012,VOLKSWAGEN PASSAT 5C SE,63582,1VWBP7A32CC078981,H/H MOTOR SPORTS INC,"$8,250 ","858 OXNARD BLVD OXNARD, CA-93030","(805) 487-8080
",CLOVIS AUTO SALES.COM,"$9,250 ","3685 N Clovis Ave Fresno, CA 93727",(559) 322-8866,,,,
,,,,,CARDINALE NISSAN ,"$9,000 ","1661 Del Monte Blvd Seaside, CA 93955",(888) 996-1636,,,,,,,,
,,,,,CLOVIS AUTO SALES.COM,"$9,250 ","3685 N Clovis Ave Fresno, CA 93727",(559) 322-8866,,,,,,,,
38,2014,HONDA ACCORD 4C LX,22021,1HGCR2F32EA092277,FINDLAY KIA,"$14,250 ","5325 W Sahara Ave Las Vegas, NV 89146",(725) 696-8200,TOYOTA OF CLOVIS/SCION OF CLOVIS,"$15,750 ","895 West Shaw Avenue Clovis, CA 93612",(559) 291-5544,,,,
,,,,,TOYOTA OF CLOVIS/SCION OF CLOVIS,"$15,750 ","895 West Shaw Avenue Clovis, CA 93612",(559) 291-5544,,,,,,,,
,,,,,CALISTA MOTORS LLC,"$15,500 ","5021 San Vicente Blvd. Los Angeles, CA 90019",(323) 902-7034,,,,,,,,
39,2013,HONDA ACCORD 4C EX,23688,1HGCR2F78DA016967,,,,,CAR STAR MOTORS,"$16,250 ","12460 Victory Blvd North Hollywood, CA 91606",(818) 781-5333,,,,
40,2012,FORD FUSION FWD 4C SEL,70040,3FAHP0JA7CR225306,THE CAR LEGACY,"$6,750 ","4020 Firestone Blvd South Gate, CA 90280",(323) 249-4600,,,,,AUTOBAHN,"$6,500 ","700 Island Pkwy, Belmont, CA 94002",888-578-3454
41,2013,HONDA CIVIC EX,39228,19XFB2F58DE223371,AUTO PLAZA,"$11,000 ","798 S 1st St San Jose, CA 95113",(408) 288-6266,,,,,,,,
42,2012,HONDA CIVIC LX,30649,19XFB2F58CE392546,SMART AUTO,"$10,000 ","1455 Laurelwood Rd Santa Clara, CA 95054",(408) 829-7328,CARMAX # 7129,"$10,500 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
43,2012,HONDA CIVIC SI,41613,2HGFG4A50CH706541,5 GRAND AUTOLAND,"$13,750 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,CARMAX # 7129,"$14,000 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
44,2012,HYUNDAI TUCSON FWD 4C LIMITED,24376,KM8JU3AC5CU530136,,,,,CARMAX # 7129,"$16,250 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
45,2008,MITSUBISHI ECLIPSE 4C GS,62600,4A3AL25F48E006786,,,,,,,,,ROADRUNNER AUTO SALES & RENTALS,"$4,750 ","6726 Reseda Blvd, Reseda, CA 91335",(818) 996-9148
46,2013,NISSAN SENTRA S,21035,S3N1AB7AP2DL55441,THE CAR LEGACY,"$8,750 ","4020 Firestone Blvd South Gate, CA 90280",(323) 249-4600,,,,,THE CAR LEGACY,"$8,750 ","4020 Firestone Blvd South Gate, CA 90280",(323) 249-4600
47,2014,NISSAN ALTIMA 4C S,32634,1N4AL3AP4EN337232,,,,,SOLEDAD AUTO SALES INC,"$12,500 ","385 Front St Soledad, CA 93960",(831) 678-2002,,,,
48,2013,NISSAN ALTIMA 4C SL,34195,1N4AL3AP4DN559249,ATLAS AUTOMOTIVE,"$14,250 ","4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257,CAMINO REAL CHEVROLET,"$14,500 ","2401 S Atlantic Blvd Monterey Park, CA 91754",(323) 843-4078,,,,
49,2013,NISSAN PATHFIND AWD SV,58098,5N1AR2MM0DC680758,AUTO GALLERY,"$17,000 ","2550 Wardlow Rd Corona, CA 92882",(951) 372-0008,,,,,AUTO GALLERY,"$17,000 ","2550 Wardlow Rd Corona, CA 92882",(951) 372-0008
50,2011,NISSAN VERSSA 1.6,95238,3N1CC1AP6BL419663,,,,,,,,,SUPER AUTOS DEL VALLE SA DE CV,"$2,400 ",NA,NA
51,2013,TOYOTA AVALON XLE TRG,43518,4T1BD1EB0DU017825,NORTH BAY AUTO INC,"$19,750 ","2771 N Main St Walnut Creek, CA 94597",(925) 448-9309,CARMAX #7129,"$20,000 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
52,2013,TOYOTA YARIS LE,87337,JTDKTUD3XDD544256,5 GRAND AUTOLAND,"$6,750 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,DRIVETIME,"$7,750 ","18313 Hawthorne Blvd Torrance, CA 90504",(310) 793-1666,,,,
53,2012,HONDA CIVIC LX,105392,19XFB2F57CE378878,RAMOS AUTO EXPRESS S A,"$6,250 ",NA,NA,,,,,AT ASSOCIATES,"$6,750 ",NA,NA
,,,,,AT ASSOCIATES,"$6,750 ",NA,NA,,,,,,,,
54,2003,INFINITI G35,110929,JNKCV54E43M219654,,,,,ESQUIVEL AUTO DEPOT INC ,"$5,000 ","800 West Foothill Blvd., Rialto, CA 92376-4736",(909) 877-2020,,,,
55,2005,HYUNDAI TIBURAN V6 GT,112833,KMHHN65F25U179500,,,,,P&G AUTO,$500 ,"280 S Palm Ave Rialto, CA 92376",(909) 873-2790,,,,
56,2010,FORD TAURUS FWD SE,123132,1FAHP2DW8AG150168,,,,,SOSAS AUTO SALES,"$5,250 ","625 South Euclid St # 14 Anaheim, CA 92802
",(714) 537-3053,,,,
57,2004,VOLVO XC90 AWD 6C,160006,YV1CM91H641050115,,,,,,,,,CALIFORNIA AUTO MARKET,"$2,000 ",NA,NA
58,2005,LINCOLN NAVIGATOR 4X2,181126,5LMFU27525LJ18481,,,,,,,,,EDDIES AUTO SALES,"$2,900 ","7905 Van Nuys Blvd. # V Los Angeles, CA 91402",(818) 201-8682
59,2013,FORD F150 4X2 CR XLT,24172,1FTFW1CF7DFC43001,PORTERVILLE FORD,"$22,250 ","701 N Main St Porterville, CA 93257",(559) 784-6000,,,,,,,,
60,2006,CHEVROLET 1500 SLV 4X4 CR 3LT,107982,2GCEK13T461128587,CENTRAL COAST CAR COMPANY LLC,"$11,000 ","1575 W Grand Ave, Grover Beach, CA 93433",(805) 474-8354,,,,,CENTRAL COAST CAR COMPANY LLC,"$11,000 ","1575 W Grand Ave, Grover Beach, CA 93433",(805) 474-8354
61,2010,FORD TAURUS FWD SE,47425,1FAHP2DWXAG165853,DOWNTOWN AUTO PLAZA,"$9,000 ","621 Van Ness Ave, Fresno, CA 93721",(559) 495-0255,5 GRAND AUTOLAND,"$10,700 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,,,,
,,,,,5 GRAND AUTOLAND,"$10,700 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,,,,,,,,
,,,,,GOLDIES MOTORS,"$9,400 ","2950-1 E Broadway Rd Phoenix, AZ 85040",(602) 454-6400,,,,,,,,
,,,,,CRYSTAL CHRYSLER JEEP,"$9,200 ","36-444 Auto Park Dr Cathedral City, CA 92234",(760) 324-4557,,,,,,,,
,,,,,WILL TIESIERA FORD MERCURY,"$9,800 ","2101 E Cross Ave Tulare, CA 93274",(559) 556-0906,,,,,,,,
62,2011,FORD RANGER 4X2 4C XL,53228,1FTKR1AD7BPA72314,CHOICE MOTORS,"$10,500 ",1590 W 16TH STREET | MERCED CA 95340,"
209-233-9595",CHOICE MOTORS,"$10,500 ",1590 W 16TH STREET | MERCED CA 95340,"
209-233-9595",,,,
,,,,,CRYSTAL CHRYSLER JEEP,"$9,100 ","36-444 Auto Park Dr Cathedral City, CA 92234",(760) 324-4557,,,,,,,,
,,,,,STARFORD LINCOLN,"$9,700 ","1100 S Brand Blvd Glendale, CA 91205",(800) 474-9313,,,,,,,,
,,,,,GOLDIES MOTORS,"$9,500 ","2950-1 E Broadway Rd Phoenix, AZ 85040",(602) 454-6400,,,,,,,,
,,,,,WILL TIESIERA FORD MERCURY,"$10,400 ","2101 E Cross Ave Tulare, CA 93274",(559) 556-0906,,,,,,,,
,,,,,CHEVROLET OF GLENDORA,"$9,900 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,,,,,,,,
68,2012,CHEVROLET COLORADO 4X2 RG WORK TRUCK,16644,1GCCSBF92C8160461,CHEVROLET OF GLENDORA,"$11,600 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,CARMAX # 7129,"$12,100 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
69,2012,FORD FUSION FWD 4C S,81710,3FAHP0GA3CR270508,CLAY COOLEY MITSUBISHI,"$8,600 ",not applicable,not applicable,CLAY COOLEY MITSUBISHI,"$8,600 ",not applicable,not applicable,,,,
70,2012,NISSAN VERSA S,26046,3N1BC1CP5CK253314,CHEVROLET OF GLENDORA,"$6,800 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,CHEVROLET OF GLENDORA,"$6,800 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,,,,
71,2011,FORD RANGER 4X2 4C XL,62574,1FTKR1AD0BPA84594,CHOICE MOTORS,"$9,750 ",1590 W 16TH STREET | MERCED CA 95340,"
209-233-9595",SOUTHERN FINANCIAL,"$10,000 ",NA,NA,,,,
72,2011,FORD RANGER 4X2 4C XL,59828,1FTKR1AD8BPA88392,CHOICE MOTORS,"$9,250 ",1590 W 16TH STREET | MERCED CA 95340,"
209-233-9595",CHOICE MOTORS,"$9,250 ",1590 W 16TH STREET | MERCED CA 95340,"
209-233-9595",,,,
,,,,,CHEVROLET OF GLENDORA,"$9,000 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,,,,,,,,
73,2013,FORD FUSION FWD 4C SE,92265,3FA6P0HR8DR170918,EL POLLO AUTO INC,"$7,900 ","15432 Amar Rd La Puente, CA 91744",(626) 333-2000,SELECTED AUTO WHOLESALE,"$7,800 ","1979 Nand Drive Yuba City, CA 95993",530-673-5533,,,,
74,2014,JEEP CHEROKEE FWD 4C SPORT,58197,1C4PJLAB4W208481,,,,,JM AUTO SALES,"$10,800 ","18820 Van Buren Blvd Riverside, CA 92508",(951) 780-0693,,,,
75,2007,FORD E150 CARGO COMMERCIAL,162153,1FTNE14W4DA46381,,,,,DOYONDA AUTO SALES,"$5,400 ","DOYONDA AUTO SALES  GARVEY AVE SOUTH EL MONTE, CA 
",626-279-9511,,,,
76,2012,FORD E150 CARGO VS COMMERCIAL,114734,1FTNE1EW3CDA38099,AUTOMOTIVE MARKETING,"$9,700 ",NA,NA,DAVE RUSSEL MOTOR CO LLC,"$11,600 ","1818 NE Sandy Blvd Portland, OR 97232",(503) 234-0409,,,,
,,,,,DAVE RUSSEL MOTOR CO LLC,"$11,600 ","1818 NE Sandy Blvd Portland, OR 97232",(503) 234-0409,,,,,,,,
77,2012,CHEVROLET COLORADO 4X2 RG LT W/1SA,25157,1GCCSBF94C8160834,CHEVROLET OF GLENDORA,"$10,900 ","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,CARMAX # 7129,"$11,100 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
,,,,,CARDINALE NISSAN ,"$11,000 ","1661 Del Monte Blvd Seaside, CA 93955",(888) 996-1636,,,,,,,,
78,2012,NISSAN VERSA S,61870,3N1BC1CP1CK809439,5 GRAND AUTOLAND,"$5,500 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,5 GRAND AUTOLAND,"$5,500 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,,,,
,,,,,A & A MOTORS,"$5,600 ","4607 Wible Rd Bakersfield, CA 93313",(661) 833-8410,,,,,,,,
79,2011,FORD TRANSIT CONNECT XLT,102868,NM0LS6BN5BT066996,,,,,PACIFIC AUTO CENTER,"$7,800 ","16416 Valley Blvd Fontana, CA 92335",(909) 429-1100,,,,
80,2012,FORD F250 4X2 RG XL,187102,1FTBF2ATXCEB22884,,,,,PACIFIC AUTO CENTER,"$10,250 ","16416 Valley Blvd Fontana, CA 92335",(909) 429-1100,,,,
81,2011,FORD F250 4X2 RG XL,162963,1FTBF2AT6BEB25375,,,,,PACIFIC AUTO CENTER,"$11,250 ","16416 Valley Blvd Fontana, CA 92335",(909) 429-1100,,,,
82,2010,FORD F150 4X2 EX,170960,1FTEX1C80AFA30719,,,,,PACIFIC AUTO CENTER,"$6,250 ","16416 Valley Blvd Fontana, CA 92335",(909) 429-1100,,,,
83,2012,FORD F150 4X4 EX XLT,175252,1FTFX1EFXCKD33145,,,,,PACIFIC AUTO CENTER,"$10,300 ","16416 Valley Blvd Fontana, CA 92335",(909) 429-1100,,,,
84,2012,NISSAN VERSA S,78499,3N1BC1CP6CK283549,AUTONET CONNECT,"$3,600 ",N/A,N/A,AUTONET CONNECT,"$3,600 ",N/A,N/A,,,,
,,,,,DOWNTOWN AUTO PLAZA,"$3,500 ","621 Van Ness Ave, Fresno, CA 93721",(559) 495-0255,,,,,SOUTHERN ARIZONA AUTO COMPANY OF DOUGLAS,"$9,800 ","1200 N G Ave, Douglas, AZ 85607",(520) 364-2424
85,2014,CHEVROLET CRUIZE 1LT,58048,1G1PC5SBXE7112474,SOUTHERN ARIZONA AUTO COMPANY OF DOUGLAS,"$9,800 ",,,,,,,,,,
,,,,,,,,,,,,,,,,
86,2013,INFINIT G37 4X2,67659,JN1CV6FE8DM771067,NORTH BAY AUTO INC,"$19,500 ","2771 N Main St Walnut Creek, CA 94597",(925) 448-9309,,,,,NORTH BAY AUTO INC,"$19,500 ","2771 N Main St Walnut Creek, CA 94597",(925) 448-9309
87,2013,DODGE AVENGER 4C SE,55204,1C3CDZAB4DN535626,AUTONET CONNECT,"$7,500 ",N/A,N/A,AUTONET CONNECT,"$7,500 ",N/A,N/A,,,,
88,2012,DODGE GRAND CARAVAN SE,97733,2C4RDGBG9CR264908,5 GRAND AUTOLAND,"$7,800 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,,,,,FIESTA MOTORS,"$8,300 ","220 W Holt Blvd, Ontario, CA 91762",(909) 460-3813
,,,,,COUGAR AUTO SALES,"$7,700 ","565 N State St Orem, UT 84057",(801) 229-1454,,,,,,,,
,,,,,FIESTA MOTORS,"$8,300 ","220 W Holt Blvd, Ontario, CA 91762",(909) 460-3813,,,,,,,,
89,2011,KIA RIO LX,58400,KNADHA30B6734404,DOWNTOWN MOTORS INC,"$4,500 ","9303 South Alameda St Los Angeles, CA 90002",323-249-4109,,,,,DOWNTOWN MOTORS INC,"$4,500 ","9303 South Alameda St Los Angeles, CA 90002",323-249-4109
90,2011,FORD FIESTA FWD SE,91776,3FADP4BJXBM148933,A & A MOTORS,"$4,600 ","4607 Wible Rd Bakersfield, CA 93313",(661) 833-8410,,,,,ATLAS AUTOMOTIVE,"$5,000 ","4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257
,,,,,5 GRAND AUTOLAND,"$4,900 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,,,,,,,,
,,,,,DOWNTOWN MOTORS INC,"$4,400 ","9303 South Alameda St Los Angeles, CA 90002",323-249-4109,,,,,,,,
,,,,,ATLAS AUTOMOTIVE,"$5,000 ","4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257,,,,,,,,
91,2010,MAZADA MAZDA6,106274,1YVHZ8CH3A5M13957,,,,,,,,,PARS MOTOR INC,"$4,200 ","804 W Holt Ave Pomona, CA 91768",(909) 620-7377
92,2010,MINI COOPER,95385,WMWMF3C55ATZ65569,DOWNTOWN AUTO PLAZA,"$5,000 ","621 Van Ness Ave, Fresno, CA 93721",(559) 495-0255,,,,,CAL KARS INC,"$5,900 ","1425 W FOOTHILL BLVD Ste 216 UPLAND, CA 91786-8007",1-855-271-9915
,,,,,DOWNTOWN MOTORS INC,"$5,500 ","9303 South Alameda St Los Angeles, CA 90002",323-249-4109,,,,,,,,
,,,,,A & A MOTORS,"$5,100 ","4607 Wible Rd Bakersfield, CA 93313",(661) 833-8410,,,,,,,,
,,,,,CAL KARS INC,"$5,900 ","1425 W FOOTHILL BLVD Ste 216 UPLAND, CA 91786-8007",1-855-271-9915,,,,,,,,
93,2010,DODGE CALIBER MAINSTREET,129941,1B3CB3HA6AD565337,DOWNTOWN MOTORS INC,"$3,900 ","9303 South Alameda St Los Angeles, CA 90002",323-249-4109,EMPIRE AUTO CENTER,"$4,000 ","100 E Dyer Rd Santa Ana, CA 92707",(714) 556-1494,,,,
94,2009,TOYOTA COROLLA LE,136313,JTDBL40E699023391,DOWNTOWN MOTORS INC,"$5,800 ","9303 South Alameda St Los Angeles, CA 90002",323-249-4109,,,,,DOWNTOWN MOTORS INC,"$5,800 ","9303 South Alameda St Los Angeles, CA 90002",323-249-4109
95,2010,FORD FUSION FWD 4C SE,100359,3FAHP0HA7AR368632,,,,,,,,,NOBLE AUTO SOLUTIONS LLC,"$3,300 ","633 Redlands,  CA 92373 
",(909) 793-3070
96,2009,AUDI A3 AWD 4C,78433,WAUKF78P49A013632,D'ANGELO LLC,"$10,000 ",N/A,N/A,RENO TAHOE AUTO GROUP,"$11,500 ",Not mentioned,775-329-0303,,,,
