S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2015,NISSAN ALTIMA 4C 2.5 S,24,1N4AL3AP8FC455443,GOLDEN STATE,"$16,500 ","1132 Golden State Ave Bakersfield, CA 93301",(661) 325-9191,GOLDEN STATE,"$16,500 ","1132 Golden State Ave Bakersfield, CA 93301",(661) 325-9191,,,,
2,2014,NISSAN SENTRA SV,9355,3N1AB7AP6EY336349,MAC CHURCHILL,"$11,750 ",N/A,N/A,MAC CHURCHILL,"$11,750 ",N/A,N/A,,,,
3,2015,INFINITI Q50 4X2 V6 PREMIUM,16234,JN1BV7AP2FM331391,MARK KIA,"$27,250 ",N/A,N/A,,,,,,,,
,,,,,STADIUM AUTO CALIFORNIA,"$27,500 ","2833 Harbor Blvd Costa Mesa, CA 92626",(888) 380-6115,,,,,,,,
4,2015,NISSAN VERSA NOTE S PLUS,6357,3N1CE2CP6FL430603,,,,,CARMAX # 7129,"$10,000 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
5,2014,NISSAN ALTIMA 4C S,19054,1N4AL3AP7EN239960,,,,,ABRAMOVICH MOTORS,"$11,500 ",,,,,,
6,2013,INFINITI FX374X2,97432,JN8CS1MU4DM140758,NISSAN OF MARTIN,"$18,250 ",N/A,N/A,ALEXANDER AUTO SALES INC,"$18,500 ","12421 Whittier Blvd Whittier, CA 90602",(562) 696-1222,,,,
,,,,,ATLANTA BEST USED CARS LLC,"$18,750 ",N/A,N/A,,,,,,,,
7,2011,NISSAN ALTIMA 4C 2.5 S,60113,1N4AL2AP0BN502781,FAST CASH FOR CARS,"$8,500 ","303 John St Salinas, CA 93901",(831) 757-7002,BBMOTORZ,"$9,500 ","417 ASSOCIATED RD #324 C/O BBMOTOR.COM BREA, CA 92821",17147064182,,,,
8,2013,NISSAN SENTRA SV,25033,3N1AB7AP6DL690626,MAGIC AUTO & TRUCK SALES,"$10,250 ","14721 Main St Hesperia, CA 92345",(760) 947-0041,,,,,,,,
9,2012,NISSAN LEAF SL,22024,JN1AZ0CP4CT024732,EUROCARS,"$8,000 ","2920 Redhill Ave Costa Mesa, CA 92626",(949) 722-7121,MARK MITSUBISHI,"$8,250 ",N/A,N/A,,,,
,,,,,MARK MITSUBISHI,"$8,250 ",N/A,N/A,,,,,,,,
10,2015,INFINITI Q50 4X2 V6 PREMIUM,15105,JN1BV7AP0FM331308,NISSAN OF MARTIN,"$27,250 ",N/A,N/A,,,,,,,,
11,2013,NISSAN ALTIMA 4C S,44771,1N4AL3AP7DN585148,,,,,OMNI AUTO CONSULTING,"$9,250 ","2703 Santa Monica Blvd Santa Monica, CA 90404",(310) 449-7771,,,,
12,2013,NISSAN NV 2500 VAN V6 SV,41456,1N6BF0LY0DN113137,NISSAN OF MARTIN,"$18,750 ",N/A,N/A,SKYHIGH REMARKETING INC,"$19,000 ","9851 Oasis Ave,  Garden Grove Ca 92844",N/M,,,,
,,,,,CENTURY TRUCKS & VANS,"$17,500 ",N/A,N/A,,,,,,,,
13,2015,NISSAN SENTRA S ,9856,3N1AB7AP6FY289647,NEXTCAR ALL VEHICLE RE,"$10,750 ",N/A,N/A,CARMAX # 7129,"$12,500 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
14,2014,NISSAN VERSA S PLUS,33231,3N1CN7AP4EL830223,,,,,PUENTE HILLS SUBARU,"$7,500 ","17801 E Gale Ave City Of Industry, CA 91748", (888) 450-8814,,,,
15,2012,NISSAN ROGUE FWD S,110662,JN8AS5MT4CW289051,,,,,PACIFIC AUTO RETAIL,"$6,750 ","1002 S Hathaway St Ste B Santa Ana, CA 92705",(714) 569-9934,,,,
16,2012,NISSAN ALTIMA 4C 2.5 S,67110,1N4AL2APXCC165484,,,,,EDDIES MEMORIES,"$8,000 ","1811 W. Katella Ste 117 Anaheim, CA 92804", 714-533-9400,,,,
17,2014,NISSAN SENTRA SV,19609,3N1AB7AP4EY288365,,,,,CARMAX # 7129,"$10,500 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
18,2012,NISSAN LEAF SL,32108,JN1AZ0CPXCT024122,SANTA BARBARA NISSAN,"$7,750 ","425 S Kellogg Ave Goleta, CA 93117",(805) 617-4700,SANTA BARBARA NISSAN,"$7,750 ","425 S Kellogg Ave Goleta, CA 93117",(805) 617-4700,,,,
19,2012,NISSAN ALTIMA 4C 2.5 S,51424,1N4AL2EP1CC240017,OFF LEASE ONLY INC,"$6,750 ",N/A,N/A,,,,,,,,
20,2014,NISSAN JUKE FWD SV,22546,JN8AF5MR2ET350667,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$13,250 ",N/A,N/A,CARMAX # 7129,"$13,500 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
21,2013,NISSAN SENTRA SL,17099,3N1AB7AP7DL682373,,,,,CARMAX # 7129,"$11,000 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
22,2013,NISSAN VERSA SV,62420,3N1CN7AP2DL890726,,,,,CRUISE AUTOS,"$6,000 ","501 Railroad St, Corona, CA 92882",888-452-3745,,,,
23,2012,NISSAN LEAF SL,21137,JN1AZ0CP1CT026986,YELLOWSTONE NATIONAL LLC,"$4,250 ",N/A,N/A,GRAHAMS AUTO ,"$7,750 ","6855 Morro Road Atascadero, CA 93422",805-466-8355,,,,
,,,,,GRAHAMS AUTO ,"$7,750 ","6855 Morro Road Atascadero, CA 93422",805-466-8355,,,,,,,,
,,,,,SANTA BARBARA NISSAN,"$7,250 ","425 S Kellogg Ave Goleta, CA 93117",(805) 617-4700,,,,,,,,
24,2008,NISSAN ALTIMA 4C 2.5 S,109168,1N4AL21E78N426824,F-G AUTOMOTRIZ,"$3,250 ",N/A,N/A,ESQUIVEL AUTO DEPOT INC,"$3,000 ",,,,,,
25,2015,NISSAN VERSA S PLUS,8659,3N1CN7APXFL930232,,,,,CARMAX # 7129,"$9,250 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
