S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2014,CHEVROLET EQUINOX FWD 4C LS,47537,2GNALAEK5E6331433,FORD OF KIRKLAND,"$12,850 ","11800 124th Ave NE, Kirkland, WA 98034,",+1 425-821-6611,,,,,,,,
2,2013,CHEVROLET G2500 CARGO 4X2,120931,1GCWGFCA7D1136283,,,,,DE OCA MOTORS INC,"$9,750 ","3827 Firestone Blvd South Gate, CA 90280",(323) 567-2458,,,,
3,2013,CHEVROLET IMPALA LS,102457,2G1WA5E30D1151995,,,,,,,,,UNIQUE AUTO CENTER,"$6,100 ","17725 Valley Blvd Bloomington, CA 92316",(909) 873-1111
4,2012,FORD E150 WAGON V8 XL,62927,1FMNE1BWXCDA41632,,,,,PUENTE HILLS SUBARU,"$12,250 ","17801 E Gale Ave City Of Industry, CA 91748",(888) 450-8814,,,,
5,2012,FORD E150 WAGON V8 XL,66935,1FMNE1BW1CDA41633,,,,,SOUTH BAY FORD LINCOLN,"$12,000 ","5100 West Rosecrans Avenue Hawthorne, CA 90250",1-866-504-0615,,,,
6,2013,FORD EXPLORER 4X4 V6 XLT,85465,1FM5K8D81DGC15619,,,,,THE MOTOR CAR GROUP INC,"$16,500 ","765 E Sycamore St Anaheim, CA 92805",(714) 780-0056,,,,
7,2014,NISSAN ALTIMA V6 S,28364,1N4BL3AP7EN232656,,,,,HERTZ CAR SALES,"$14,500 ","4401 Stevens Creek Blvd Santa Clara, CA 95051",(877) 244-6782,,,,
8,2014,NISSAN ALTIMA V6 S,27642,1N4BL3AP2EN231821,,,,,,,,,UNKNOWN,"$14,500 ",NA,NA
9,2014,TOYOTA CAMRY V6 XLE,64095,4T1BK1FK9EU023855,,,,,JESSES USED CARS,"$12,400 ","10653 N Loop Dr Socorro, TX 79927",(915) 872-0454,,,,
10,2013,TOYOTA TACOMA 4X2 V6 PRERUNNER,52701,3TMJU4GN1DM150672,,,,,PIERCEY SCION,"$22,500 ","950 Thompson St.  Milpitas, CA 95035",888-658-5591,,,,
11,2015,CHEVROLET CAPT SPT LS,30499,3GNAL2EK7FS502577,,,,,HERTZ CAR SALES,"$13,300 ","4401 Stevens Creek Blvd Santa Clara, CA 95051",(877) 244-6782,,,,
12,2015,CHEVROLET EQUINOX AWD 4C LT,32239,2GNFLGEK0F6283690,LESKOVAR MITSUBISHI,"$18,750 ","3020 W Clearwater Ave Kennewick, WA 99336",(509) 783-6141,LESKOVAR MITSUBISHI,"$18,750 ","3020 W Clearwater Ave Kennewick, WA 99336",(509) 783-6141,,,,
13,2014,CHEVROLET IMPALA LIMITED LT,36806,2G1WB5E37E1150342,FORD OF KIRKLAND,"$12,250 ","11800 124th Ave NE, Kirkland, WA 98034,",+1 425-821-6611,FORD OF KIRKLAND,"$12,250 ","11800 124th Ave NE, Kirkland, WA 98034,",+1 425-821-6611,,,,
14,2015,CHEVROLET MALIBU LTZ,32673,1G11F5SL8FF128833,FORD OF KIRKLAND,"$14,750 ","11800 124th Ave NE, Kirkland, WA 98034,",+1 425-821-6611,FORD OF KIRKLAND,"$14,750 ","11800 124th Ave NE, Kirkland, WA 98034,",+1 425-821-6611,,,,
15,2015,CHEVROLET SUBURBAN 4X4 LT,42016,1GNSKJKC5FR272541,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$39,250 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,,,,,
16,2015,CHEVROLET TAHOE 4X2 LT,41067,1GNSCBKC0FR253382,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$37,250 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$37,250 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,
17,2014,CHRYSLER 300 4X2 V6,33928,2C3CCAAG7EH327461,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$16,000 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$16,000 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,
,,,,,BILL LUKE FIAT,"$15,750 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,,,,,,,,
18,2015,CHRYSLER 200 FWD 4C C,33265,1C3CCCCB4FN549641,,,,,HERTZ CAR SALES,"$13,700 ","4401 Stevens Creek Blvd Santa Clara, CA 95051",(877) 244-6782,,,,
19,2015,CHRYSLER 300 4X2 V6 LIMITED,16500,2C3CCAAG7FH779797,BILL LUKE FIAT,"$18,750 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,,,,,,,,
20,2015,CHRYSLER TOWN & COUNTRY TOURING,40254,2C4RC1BG8FR696426,WILSON MOTOR NISSAN FORD LINCOLN MERCURY,"$15,500 ",NA,NA,PANDA MOTORS INC,"$15,750 ","10371 Beach Boulevard  Stanton, CA 90680",(714) 947-1900,,,,
21,2014,CHRYSLER TOWN & COUN TOURING,45027,2C4RC1BG2ER399117,,,,,HENRY CLAY MOTORS LLC,"$15,000 ",Not applicable,Not applicable,,,,
22,2014,DODGE CHALLENGER V6 SXT,32861,2C3CDYAG9EH289799,,,,,LEGACY MOTORS INC,"$17,000 ","670 El Cajon Blvd El Cajon, CA 92020",(619) 442-0916,,,,
23,2014,DODGE CHARGER 4X2 V6 SE,31764,2C3CDXBG7EH346221,,,,,HADDAD DODGE,"$15,000 ","3000 Harris Rd Bakersfield, CA 93384",(877) 244-1902,,,,
24,2015,DODGE CHARGER 4X2 V6 SE,36342,2C3CDXBG5FH799464,KCA AUTO ENTERPRISE,"$16,000 ","8218 Garden Grove Blvd Garden Grove, CA 92844",(714) 867-6418,KANSAS ENTERPRISE FUND,"$17,000 ","4811 Lamar Ave Mission, KS 66202-1712", 913-262-1118,,,,
,,,,,KANSAS ENTERPRISE FUND,"$17,000 ","4811 Lamar Ave Mission, KS 66202-1712", 913-262-1118,,,,,,,,
25,2015,DODGE CHARGER 4X2 V6 SE,42154,2C3CDXBG9FH790850,KCA AUTO ENTERPRISE,"$16,000 ","8218 Garden Grove Blvd Garden Grove, CA 92844",(714) 867-6418,,,,,,,,
,,,,,KANSAS ENTERPRISE FUND,"$16,250 ","4811 Lamar Ave Mission, KS 66202-1712", 913-262-1118,,,,,,,,
,,,,,MARTINEZ USED CARS INC,"$15,750 ","314 Lander Ave Turlock, CA 95380",(209) 634-4496,,,,,,,,
26,2014,DODGE CHARGER 4X2 V6 SXT,37441,2C3CDXHG0EH324603,BLOOMINGTON LINCOLN ME,"$15,000 ","1001 Clover Dr Bloomington, MN 55420",(952) 888-2271,KCA AUTO ENTERPRISE,"$15,250 ","8218 Garden Grove Blvd Garden Grove, CA 92844",(714) 867-6418,,,,
,,,,,KCA AUTO ENTERPRISE,"$15,250 ","8218 Garden Grove Blvd Garden Grove, CA 92844",(714) 867-6418,,,,,,,,
27,2015,DODGE DURANGO 4X2 V6 LIMITED,16162,1C4RDHDG2FC694876,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$26,500 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,,,,,,,,
28,2015,FORD EDGE AWD SUV TITANIUM,26370,2FMTK4K89FBB16589,FORD OF KIRKLAND,"$26,750 ","11800 124th Ave NE, Kirkland, WA 98034,",+1 425-821-6611,,,,,,,,
29,2015,FORD F150 4X2 CR XLT,19082,1FTEW1C82FKD29842,,,,,J STAR FIAT & MASERATI OF ANAHEIM HILLS,"$26,250 ","8200 Crystal Dr Anaheim, CA 92807",(866) 325-6875,,,,
30,2015,FORD F150 4X4 CR XLT,24870,1FTEW1EG7FKD29775,ROYS AUTO CENTER,"$29,750 ","505 Broadway St Eureka, CA 95501","
 (707) 443-3008",J STAR FIAT & MASERATI OF ANAHEIM HILLS,"$30,000 ","8200 Crystal Dr Anaheim, CA 92807",(866) 325-6875,,,,
