S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
14,2013,HYUNDAI ELANTRA GLS,36077,5NPDH4AE6DH364234,,,,,CASH OR FINANCE AUTO,"$9,900 ","16720 Lakewood Blvd Bellflower, CA 90706",(562) 202-9289,,,,
15,2016,HYUNDAI ELANTRA SE,6299,5NPDH4AE9GH716596,,,,,DESERT RENT A CAR AUTO SALES,"$13,200 ","68150 Ramon Rd Cathedral City, CA 92234",(760) 399-4227,,,,
16,2014,VOLKSWAGEN JETTA SE,40525,3VWD17AJ3EM382640,OAK TREE MAZDA,"$9,600 ","4250 Stevens Creek Blvd San Jose, CA 95129",(877) 850-8062,OAK TREE MAZDA,"$9,600 ","4250 Stevens Creek Blvd San Jose, CA 95129",(877) 850-8062,,,,
17,2013,FORD FOCUS SE,34943,1FADP3K21DL214499,,,,,VALLEY HI KIA,"$14,400 ",,,,,,
18,2015,BUICK ENCLAVE FWD LEATHER,39797,5GAKRBKD1FJ106925,RALLY CAD HYUNDAI BUICK GMC KIA,"$27,100 ",,,,,,,RALLY CAD HYUNDAI BUICK GMC KIA,"$27,100 ",,
19,2014,HYUNDAI SANTA SP FWD 4C,47860,5XYZT3LB9EG147464,,,,,WIN HYUNDAI,"$14,800 ","3462 N Peck Rd El Monte, CA 91731",(888) 249-8580,,,,
20,2014,BMW 528I 528I,40530,WBA5A5C57ED508793,,,,,,,,,K & S AUTO SALES,"$26,400 ","3231 India St San Diego, CA 92103",(619) 683-9300
21,2013,NISSAN ALTIMA 4C S,35111,1N4AL3AP6DN498728,,,,,TEAM NISSAN,"$10,500 ",,,,,,
22,2014,CHRYSLER TOWN & COUN TOURING,40361,2C4RC1BG7ER357882,,,,,MURDOCK HYUNDAI LLC,"$15,600 ","4646 S State St Murray, UT 84107","
(801) 262-6401",,,,
23,2014,HYUNDAI VELOSTER,39561,KMHTC6AD5EU186509,,,,,TOYOTA OF PASADENA,"$11,100 ","3600 E Foothill Blvd Pasadena, CA 91107",(626) 795-9787,,,,
24,2014,MITSUBISHI MIRAGE ES,38270,ML32A3HJ0EH010575,,,,,PUENTE HILLS MITSUBISHI,"$7,000 ","17665 Castleton St City Of Industry, CA 91748",(866) 830-0768,,,,
25,2014,NISSAN SENTRA SV,42830,3N1AB7AP6EL625857,SOLEDAD AUTO SALES INC,"$10,100 ","385 Front St Soledad, CA 93960",(831) 678-2002,,,,,,,,
26,2015,CHRYSLER TOWN & COUNTRY TOURING,47942,2C4RC1BG4FR571214,,,,,RIVERSIDE VOLKSWAGON MAZDA HYUNDAI,"$16,500 ","8330 Indiana Ave Riverside, CA 92504",(951) 509-2121,,,,
27,2014,NISSAN SENTRA SV,44201,3N1AB7AP0EL608455,PREMIER HYUNDAI OF OAKLAND,"$9,700 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$9,700 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
28,2014,MITSUBISHI MIRAGE ES,36084,ML32A3HJ3EH010957,VENTURA RV/CAR CONNECTION,"$7,000 ",,,KCA AUTO ENTERPRISE,"$7,100 ","8218 Garden Grove Blvd Garden Grove, CA 92844",(714) 867-6418,,,,
,,,,,KCA AUTO ENTERPRISE,"$7,100 ","8218 Garden Grove Blvd Garden Grove, CA 92844",(714) 867-6418,,,,,,,,
29,2013,FORD FOCUS SE,38121,1FADP3K24DL214514,,,,,HERTZ CAR SALES,"$9,400 ","4401 Stevens Creek Blvd Santa Clara, CA 95051",(877) 244-6782,,,,
30,2013,NISSAN ALTIMA 4C S,37555,1N4AL3AP5DN496808,,,,,CARMAX # 7129,"$11,200 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
31,2014,FORD C,38808,1FADP5BU6EL513680,,,,,SKYHIGH REMARKETING INC,"$14,200 ","9851 Oasis Ave,  Garden Grove Ca 92844",N/M,,,,
32,2014,VOLKSWAGEN JETTA SE,44068,3VWD17AJ6EM383054,PREMIER HYUNDAI OF OAKLAND,"$9,600 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$9,600 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
33,2014,DODGE CHARGER 4X2 V8 RT,39434,2C3CDXCT7EH239231,,,,,PUENTE HILLS MITSUBISHI,"$19,800 ","17665 Castleton St City Of Industry, CA 91748",(866) 830-0768,,,,
34,2014,INFINITI QX60 FWD V6,42138,5N1AL0MN4EC521595,,,,,FUTURE FORD LINCOLN OF CONCORD,"$26,700 ","2285 Diamond Blvd Concord, CA 94520",(925) 686-5000,,,,
35,2014,JEEP CHEROKEE FWD V6 LATITUDE,35757,1C4PJLCS5EW206851,KCA AUTO ENTERPRISE,"$15,500 ","8218 Garden Grove Blvd Garden Grove, CA 92844",(714) 867-6418,KCA AUTO ENTERPRISE,"$15,500 ","8218 Garden Grove Blvd Garden Grove, CA 92844",(714) 867-6418,,,,
36,2013,NISSAN ROGUE FWD S,40450,JN8AS5MT4DW017147,,,,,CARMAX # 7129,"$11,800 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
37,2014,MAZDA MAZDA2 TOURING,35856,JM1DE1LZ1E0177618,SPREEN MAZDA,"$9,000 ",,,SPREEN MAZDA,"$9,000 ",,,,,,
38,2014,VOLKSWAGEN JETTA SE,36819,3VWD17AJ0EM279448,,,,,ROCK HONDA,"$9,900 ",,,,,,
39,2013,JEEP WRANG UNLTD SPORT,38366,1C4HJWDG7DL552660,,,,,EAST COUNTY PREOWNED SUPERSTORE,"$25,250 ","327 El Cajon Blvd El Cajon, CA 92020",(619) 754-4224,,,,
40,2014,NISSAN SENTRA SV,37925,3N1AB7APXEY227229,PREMIER HYUNDAI OF OAKLAND,"$10,100 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$10,100 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
41,2014,JEEP GR CHERO 4X4 V6 LIMITED,36712,1C4RJFBG9EC491305,,,,,ROCK HONDA,"$25,500 ",,,,,,
42,2013,NISSAN ALTIMA 4C S,34599,1N4AL3APXDN478921,,,,,CARMAX # 7129,"$11,500 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
43,2013,JEEP WRANG UNLTD FREEDOM,38163,1C4HJWDG5DL518166,,,,,EAST COUNTY PREOWNED SUPERSTORE,"$25,500 ","327 El Cajon Blvd El Cajon, CA 92020",(619) 754-4224,,,,
44,2014,KIA RIO LX,39565,KNADM4A30E6385194,,,,,TEAM NISSAN,"$8,400 ",,,,,,
45,2013,JEEP WRANG UNLTD SPORT,37736,1C4HJWDGXDL695957,,,,,EAST COUNTY PREOWNED SUPERSTORE,"$24,750 ","327 El Cajon Blvd El Cajon, CA 92020",(619) 754-4224,,,,
46,2014,NISSAN SENTRA SV,37950,3N1AB7AP8EY241694,PREMIER HYUNDAI OF OAKLAND,"$10,000 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$10,000 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
47,2014,VOLKSWAGEN JETTA SE,36018,3VWD17AJ1EM424805,PREMIER HYUNDAI OF OAKLAND,"$9,900 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,MOJAVE TOYOTA & CHRYSLER DGE JEEP RAM OF BARSTOW,"$10,000 ","631 W MAIN St Barstow, California",1 760-256-5800,,,,
,,,,,MOJAVE TOYOTA & CHRYSLER DGE JEEP RAM OF BARSTOW,"$10,000 ","631 W MAIN St Barstow, California",1 760-256-5800,,,,,,,,
48,2015,NISSAN VERSA NOTE SV,42711,3N1CE2CP3FL358498,,,,,DUBLIN NISSAN,"$8,400 ","6450 Dublin Ct Dublin, CA 94568",(925) 452-8000,,,,
49,2014,NISSAN VERSA SV,42792,3N1CN7AP3EK451154,,,,,TEAM NISSAN,"$8,000 ",,,,,,
50,2013,NISSAN ALTIMA 4C S,37471,1N4AL3APXDN512386,,,,,CARMAX # 7129,"$11,400 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
51,2013,NISSAN ALTIMA 4C S,37452,1N4AL3AP9DN496097,,,,,CARMAX # 7129,"$11,200 ","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
52,2015,NISSAN VERSA NOTE SV,38629,3N1CE2CP5FL357577,HERTZ,"$8,900 ","780 Mcdonnell Rd San Francisco, CA 94128",(650) 624-6600,,,,,,,,
53,2014,VOLKSWAGEN JETTA SE,36134,3VWD17AJ1EM425582,PREMIER HYUNDAI OF OAKLAND,"$10,000 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$10,000 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
54,2014,CHRYSLER TOWN & COUN TOURING,40371,2C4RC1BG4ER400395,,,,,TOYOTA OF PASADENA,"$15,800 ","3600 E Foothill Blvd Pasadena, CA 91107",(626) 795-9787,,,,
55,2015,TOYOTA RAV4 AWD LE,41301,2T3BFREV1FW263439,,,,,HERTZ CAR SALES,"$18,200 ","4401 Stevens Creek Blvd Santa Clara, CA 95051",(877) 244-6782,,,,
56,2015,HYUNDAI SONATA 2.4L SE,41174,5NPE24AF0FH005382,,,,,WIN HYUNDAI CARSON,"$11,800 ","2201 E 223rd St Carson, CA 90810",(888) 840-1136,,,,
57,2015,MAZDA MAZDA3 I SPORT,39482,3MZBM1U75FM135312,,,,,HERTZ CAR SALES,"$12,800 ","4401 Stevens Creek Blvd Santa Clara, CA 95051",(877) 244-6782,,,,
58,2014,NISSAN VERSA S PLUS,46177,3N1CN7AP3EL855100,,,,,UNIQUE AUTO CENTER,"$7,200 ","17725 Valley Blvd Bloomington, CA 92316",(909) 873-1111,,,,
59,2015,HYUNDAI SONATA 2.4L SE,41265,5NPE24AF4FH076021,,,,,WIN HYUNDAI CARSON,"$11,600 ","2201 E 223rd St Carson, CA 90810",(888) 840-1136,,,,
60,2014,TOYOTA CAMRY 4C SE,45905,4T1BF1FK9EU416226,FREEWAY AUTO CENTER,"$13,100 ","333 South Waterman Ave San Bernardino, CA 92408",(909) 381-3222,CAR AVE,"$13,500 ","1710 N Blackstone Ave,Fresno, CA 93703",559-237-6600,,,,
,,,,,HI STAR AUTO SALES INC,"$13,400 ","3411 Foothill Blvd La Crescenta, CA 91214",(818) 249-0006,,,,,,,,
,,,,,CAR AVE,"$13,500 ","1710 N Blackstone Ave,Fresno, CA 93703",559-237-6600,,,,,,,,
61,2014,NISSAN VERSA S PLUS,41489,3N1CN7APXEL856163,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$7,200 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,FM ENTERPRISE,"$7,400 ","1224 Kendrick Ct Corona, CA 92881",(714) 554-4786,,,,
62,2015,MAZDA MAZDA3 I SPORT,40428,3MZBM1U75FM135343,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$12,600 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,HERTZ CAR SALES,"$12,500 ","4401 Stevens Creek Blvd Santa Clara, CA 95051",(877) 244-6782,,,,
63,2014,NISSAN VERSA S PLUS,39051,3N1CN7AP0EL852199,BILL LUKE CHRYSLER JEEP AND DODGE INC,"$7,500 ","2425 W Camelback Rd Phoenix, AZ 85015",(602) 249-1234,MY NISSAN,"$7,600 ","222 Auto Center Circle Salinas, CA 93907",(831) 444-8888,,,,
64,2014,TOYOTA CAMRY 4C SE,46277,4T1BF1FK3EU401768,FREEWAY AUTO CENTER,"$12,600 ","333 South Waterman Ave San Bernardino, CA 92408",(909) 381-3222,AUTO PLAZA,"$13,400 ","798 S 1st St San Jose, CA 95113",(408) 288-6266,,,,
