S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2005,PONTIAC VIBE FWD,281590,5Y2SL63845Z460253,,,,,CREST MOTORS,"$1,500 ",6825 S Figueroa St  Los Angeles California,(323) 778-6695,,,,
2,2004,FORD TAURUS LX,94746,1FAFP52U74G128418,DESERT AUTO DEALER,$950 ,"74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,DESERT AUTO DEALER,$950 ,"74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,,,,
3,2006,FORD FOCUS,137834,1FAHP31N46W147556,DESERT AUTO DEALER,"$1,100 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,DESERT AUTO DEALER,"$1,100 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,,,,
4,2006,AUDI A3 FWD 4C,121160,WAUMF78PX6A019651,,,,,AL Q USED CARS LLC,"$2,500 ","5055 Sierra St Riverside, CA 92504",Not mentioned,,,,
5,2004,FORD RANGER 4X2 EX,189763,1FTYR14U84PA48984,,,,,DC MOTORS,"$1,800 ","4530 E La Palma Ave Anaheim, CA 92807",(714) 695-0102,,,,
6,2006,JEEP COMANDER 4X2 V6,132378,1J8HH48K36C289383,BAJAKAR,"$2,600 ",Not applicable,Not applicable,,,,,RD MOTOR SPORTS,"$2,900 ","3301 Portola Dr Ste B Santa Cruz, CA 95062",(831) 462-3195
7,2003,TOYOTA COROLLA S,128131,1NXBR32E43Z135239,MERIT AUTO SALES,"$2,900 ","3019 N Blackstone Ave Fresno, CA 93703",(559) 227-6745,MILAHS AUTO SALES,"$3,300 ",NA,NA,,,,
8,1996,CHEVROLET CAPRICE CLASSIC CLASSIC,184383,1G1BL52PXTR111073,,,,,COMO TU AUTO SALES INC,$750 ,"2310 Saldina Cir Corona, California 92879-7730",(951) 893-1872,,,,
9,1998,FORD ESCORT,97718,3FAKP1137WR257352,,,,,GPS AUTO SALES LLC,$900 ,"4840 Carlisle Rd Dover, PA 17315",(717) 292-4975,,,,
10,2011,CHEVROLET MALIBU 4C LS W/1LS,163881,1G1ZB5E13BF334421,,,,,JUAN RIVERA LANDEROS,"$3,400 ",n/a,n/a,,,,
11,2004,CADILLAC ESCALADE AWD V8,191228,1GYEK63N94R242727,,,,,,,,,COMO TU AUTO SALES INC,"$5,000 ","2310 Saldina Cir Corona, California 92879-7730",(951) 893-1872
12,2002,NISSAN ALTIMA 4C,160567,1N4AL11DX2C184356,,,,,JPJ AUTO INC,"$1,500 ","2801 E Cesar E Chavez Ave,Los Angeles, CA 90033",(323) 261-0377,,,,
13,1999,FORD MUSTANG V6 CPE,215486,1FAFP4044XF131333,,,,,GLOBAL AUTO GROUP,$450 ,"12507 Oxnard ST. Los Angeles, CA 91606",(818) 358-2757,,,,
14,2000,DODGE DURANGO 4X2 V8,145957,1B4HR28Y7YF283100,,,,,GT AUTO SALES,$950 ,"690 Noble St, Madera, CA 93637",(559) 673-9900,,,,
15,2011,NISSAN CUBE 1.8 BASE,132134,JN8AZ2KR3BT204458,,,,,HERRERA AUTO SALES,"$4,200 ","1111 S Atlantic Boulevard Los Angeles, CA 90022",(323) 268-2868,,,,
16,2006,CHRYSLER 300 4X2 V6,125873,2C3KA43R56H313724,AZ LUXURY AUTO LLC,"$3,300 ",22047 N 23 Ave Phoenix Maricopa AZ 85027-1932,(623) 869 6944,HERRERA AUTO SALES,"$3,200 ","1111 S Atlantic Boulevard Los Angeles, CA 90022",(323) 268-2868,,,,
S,2004,FORD F150 4X2 EX XLT,115491,2FTRX17W54CA27924,,,,,HERRERA AUTO SALES,"$4,800 ","1111 S Atlantic Boulevard Los Angeles, CA 90022",(323) 268-2868,,,,
18,2008,CHRYSLER 300 4X2 V6,173890,2C3LA43R38H126022,,,,,NATION AUTO FUNDS LLC,"$3,600 ",Not applicable,Not applicable,,,,
