S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
,,,,,,,,,,,,,,,,
S.No.,Model,Car,Odometer,VIN number,Online bid,Dollars,Address,Phone,Sold,Dollars,Address,Phone No.,If sale,Dollars,Address,Phone No.
1,2006,TOYOTA RAV4 FWD V6 SPORT,74681,JTMZK32V465003510,I CARS INC,"$4,000 ","1220 S Victory Blvd Burbank, CA 91506",(818) 848-2277,,,,,,,,
10-Mar,2014,CHEVROLET CORVETTE Z51 3LT,12463,1G1YL2D76E5106596,,,,,,,,,SOUTHERN FINANCIAL,"$44,000 ",NA,NA
4-Oct,2011,BMW 135I 135I,58992,WBAUC9C59BVM10173,,,,,,,,,SOUTHERN CALIFORNIA AUTO HOUSE,"$15,750 ","2640 Harbor Blvd Costa Mesa, CA 92626",(714) 436-0300
7-Oct,2008,DODGE RAM 1500 4X2 V6 ST,138643,1D7HA18K68J149553,,,,,G & G AUTO WHOLESALE,"$7,000 ","6701 Lankershim Blvd, North Hollywood, CA 91606",(818) 821-8449,,,,
8-Oct,2011,FORD FIESTA FWD SE,53712,3FADP4BJ0BM233943,STREAMLINE AUTO,"$7,500 ","1175 Industrial Ave Unit O Escondido, CA, CA 92029",(951) 695-5402,CARMAX # 7195,"$7,750 ","9501 Research Dr Irvine, CA 92618",(949) 341-0801,,,,
9-Oct,2011,HYUNDAI ACCENT GLS,62618,KMHCN4AC4BU611817,ATLAS AUTOMOTIVE,"$5,250 ","4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257,TOYOTA OF ESCONDIDO,"$5,500 ","231 Lincoln Pkwy, Escondido, CA 92026",(760) 746-0601,,,,
,,,,,DRIVETIME,"$5,000 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,,,,,
10-Oct,2009,HYUNDAI ELANTRA GLS,103368,KMHDU46DX9U698657,,,,,DIAMOND MOTOR CARS INC,"$4,000 ","9601 Artesia Blvd Bellflower, CA 90706",(562) 920-1777,,,,
12-Oct,2013,SUBARU OUTBACK 4C 2.5I PREM,37744,4S4BRBGC2D3268669,,,,,,,,,SOUTHERN FINANCIAL,"$16,000 ",NA,NA
14-Oct,2015,VOLKSWAGEN BEETLE,10364,3VW517AT4FM806883,PREMIER AUTO CENTER,"$15,750 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,SOUTH BAY FORD LINCOLN,"$16,250 ","5100 W Rosecrans Ave, Hawthorne, CA 90250
",888-231-7341,,,,
15-Oct,2015,CHEVROLET MALIBU LT,7920,1G11C5SL4FF141961,COURTESY CHEVROLET CENTER,"$15,000 ","750 Camino Del Rio N San Diego, CA 92108",(619) 297-4340,STG AUTO GROUP,"$15,750 ","1153 W Holt Blvd Ontario, CA 91762",(909) 984-6595,,,,
,,,,,PREMIER AUTO CENTER,"$14,750 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,,,,,,,,
16-Oct,2009,FORD F150 4X2 CR XLT,111103,1FTRW12809FA07510,AUTO RESOURCES INC,"$12,000 ","200 West Main Street Merced, CA 95340",209-383-4990,VERAXS CORP,"$11,750 ","7594 Indiana Ave, Riverside, CA 92504",(951) 352-1400,,,,
17-Oct,2012,FORD MUSTANG V6 CPE,56851,1ZVBP8AM0C5235586,,,,,CAR LUX INC,"$12,250 ","843 S La Brea Ave Inglewood, CA 90301",(310) 412-9072,,,,
18-Oct,2013,BMW 128I CNV 128I,28153,WBAUL7C52DVU08675,,,,,SOUTH BAY FORD LINCOLN,"$21,500 ","5100 W Rosecrans Ave, Hawthorne, CA 90250
",888-231-7341,,,,
19-Oct,2012,HYUNDAI SONATA HYBRID,42005,KMHEC4A44CA045927,GOLDIES MOTORS,"$11,000 ","2950-1 E Broadway Rd Phoenix, AZ 85040",(602) 454-6400,CARMAX # 7195,"$12,000 ","9501 Research Dr Irvine, CA 92618",(949) 341-0801,,,,
,,,,,PREMIER AUTO CENTER,"$10,750 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,,,,,,,,
21-Oct,2010,DODGE RAM 1500 4X4 V8,0,1D7RV1GP7AS160499,,,,,,,,,,,,
22-Oct,2012,RAM 1500 4X2 V8 BIG HORN,57240,1C6RD6GT3CS108885,PREMIER AUTO CENTER,"$17,250 ","1223 N Batavia St Orange, CA 92867-4612",714-289-4500,AUTO DEPOT,"$17,500 ","15836 Valley Blvd Fontana, CA 92335",(909) 355-7223,,,,
23-Oct,2014,JEEP COMPASS FWD 4C,41953,1C4NJCBA7ED552279,,,,,NVP REMARKETING,"$10,200 ","17292 Brooklyn Avenue Yorba Linda, CA 92886",714-420-3099,,,,
25-Oct,2005,NISSAN FRONTIER 4X4 EX SE,65319,1N6AD06W85C446548,TYACKE MOTORS,"$10,750 ","1690 W Center St Provo, UT 84601","
(801) 373-4445",CARMAX # 7195,"$11,000 ","9501 Research Dr Irvine, CA 92618",(949) 341-0801,,,,
26-Oct,2008,JEEP LIBERTY 4X2 LIMITED,103249,1J8GP58K28W161044,,,,,NVP REMARKETING,"$6,000 ","17292 Brooklyn Avenue Yorba Linda, CA 92886",714-420-3099,,,,
27-Oct,2007,BMW 525I,90869,WBANE53547CW68336,CAR MART,"$6,500 ","767 Baker St Costa Mesa, CA 92626",(949) 288-6898,AUTO RANCH,"$6,750 ","830 S Harbor Blvd Santa Ana, CA 92704",(714) 839-1900,,,,
28-Oct,2007,MERCEDES E350W,189149,WDBUF56X77A997969,LUSNAK MOTORS INC,"$3,900 ","7050 Sunnyslope Avenue Van Nuys, CA 91405",818-331-6700,,,,,,,,
,,,,,CAUCASUS TOYOTA OF GEORGIA,"$4,200 ","212-214 Johnson Ave Newark, NJ 07108",(973) 343-6282,AUTO MART 2000,"$4,100 ",Not applicable,Not applicable,,,,
