S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2008,TOYOTA COROLLA CE,1NXBR32EX8Z017154,142050,,,,,JNB MOTOR INC,"$3,750 ","1211 W Valley Blvd Alhambra, CA 91803",(626) 308-0006,,,,
2,2004,CHEVROLET 1500 SLV 4X2 RG,1GCEC14T74Z145898,32741,,,,,MILITARY AUTO CENTER,"$8,200 ","9323 Activity Rd San Diego, CA 92126",(858) 905-5170,,,,
3,2001,FORD F150 4X2 RG XLT,1FTRF17L01KF80206,120269,STUNNING AUTO,"$7,600 ","2015 Marconi Ave Sacramento, CA 95821",(916) 802-1447,M & M CARS TRUCKS VANS INC,"$3,300 ","9412 E Garvey Ave South El Monte, CA 91733",(626) 448-7218,,,,
,,,,,CANYON CAR COMPANY,"$8,300 ","31582 Railroad Canyon Rd
Canyon Lake, CA 92587",(951) 795-0056,,,,,,,,
4,2007,TOYOTA CAMRY 4C,4T1BE46K97U702035,118386,MAGIC AUTO CENTER OF RESEDA,"$6,300 ","6360 Reseda Blvd Tarzana, CA 91335",(818) 881-6999,MAGIC AUTO CENTER OF RESEDA,"$6,400 ","6360 Reseda Blvd Tarzana, CA 91335",(818) 881-6999,,,,
5,2002,TOYOTA TACOMA 4X2 EX PRERUNNER,5TESN92N62Z036494,146933,ZUBES IMPORT AUTO SALES,"$7,200 ","2974 S Higuera St San Luis Obispo, CA 93401",(805) 541-9823,ZUBES IMPORT AUTO SALES,"$7,200 ","2974 S Higuera St San Luis Obispo, CA 93401",(805) 541-9823,,,,
6,2006,MAZDA MAZDA6,1YVFP80C765M05261,154979,,,,,DREAMERS AUTO SALES,"$1,950 ","3808 Baldwin Blvd Corpus Christi, TX 78405",(361) 888-7792,,,,
7,2006,TOYOTA COROLLA S,1NXBR30E96Z658313,99804,,,,,JP AUTO WHOLESALE,"$5,000 ","3597 Nevada St, Pleasanton, CA 94566",(925) 460-9444,,,,
8,2004,GMC SR 1500 4X4 EX SLE,2GTEK19V741185453,196153,,,,,OCEAN AUTO SALES,"$4,000 ","1650 N El Camino Real San Clemente, CA 92672",(949) 361-5100,,,,
9,2006,PONTIAC G6 4C,1G2ZF55B464184149,196796,,,,,ELEGANT MOTORS,"$1,400 ","205 S Harbor Blvd Santa Ana, CA 92704",(714) 812-4683,,,,
