LIBERTY CARS AND TRUCKS," 600 Freeman Ln, Grass Valley, CA 95949",+1 530-477-5454
,,,2002,FORD EXCURS 4X4 V10 XLT,115346,1FMNU41S52EC84342,"$6,600 ",ONLINE,1/29/2016 12:11:27 PM
,,,2006,NISSAN ARMADA 4X2 LE,120875,5N1AA08A86N704730,"$6,300 ",ONLINE,1/29/2016 12:11:27 PM
,,,2004,CHEVROLET CORVETTE,83082,1G1YY22G445121097,"$13,000 ",ONLINE,1/29/2016 12:11:27 PM
,,,2005,GMC YUK XL DEN AWD,128900,1GKFK66U55J253824,"$8,700 ",ONLINE,1/29/2016 12:11:27 PM
,,,2011,FORD EDGE FWD V6 LIMITED,69622,2FMDK3KC9BBB32868,"$12,900 ",SOLD,1/29/2016 12:11:27 PM
,,,2005,GMC CANYON 4X4 CR SLE Z85,136933,1GTDT136858139073,"$7,800 ",ONLINE,1/29/2016 12:11:27 PM
,,,2007,NISSAN TITAN 4X4 CR LE,139285,1N6AA07B47N200589,"$11,300 ",SOLD,1/29/2016 12:11:27 PM
ALL GERMAN AUTO,"1327 Simpson Way Escondido, CA 92029",(760) 738-4626
,,,2010,FORD FUSION FWD 4C HYBRID,94450,3FADP0L35AR361427,"$8,500 ",SOLD,1/29/2016 12:11:27 PM
,,,2007,SATURN AURA V6 XR,110503,1G8ZV57707F317934,"$5,400 ",ONLINE,1/29/2016 12:11:27 PM
,,,2007,BMW 328I,99525,WBAWV13547PK48436,"$9,900 ",ONLINE,1/29/2016 12:11:27 PM
,,,2005,MERCEDES G500K,84571,WDCYR49EX5X162452,"$36,750 ",ONLINE,1/29/2016 12:11:27 PM
,,,2006,BMW 330I,62844,WBAVB33596KS37010,"$9,600 ",ONLINE,1/29/2016 12:11:27 PM
,,,2008,BMW 535IA 535I AUTO,69958,WBANW13508CZ82542,"$13,000 ",ONLINE,1/29/2016 12:11:27 PM
,,,2013,INFINITI JX35 FWD,50625,5N1AL0MN9DC323528,"$25,250 ",IFSALE,1/29/2016 12:11:27 PM
DEFINITIVE MOTORS,"203 116th Ave NE Bellevue, WA 98004",(425) 562-8080
,,,2011,BMW 528IA 528I,61876,WBAFR1C52BC672587,"$19,500 ",SOLD,1/29/2016 12:11:27 PM
,,,2015,HONDA ODYSSEY EX-L,4813,5FNRL5H62FB058917,"$30,000 ",ONLINE,1/29/2016 12:11:27 PM
,,,2009,MERCEDES ML320BTC,82533,4JGBB25E09A507437,"$15,700 ",SOLD,1/29/2016 12:11:27 PM
,,,2007,NISSAN MURANO AWD S,39964,JN8AZ08W67W625095,"$11,300 ",SOLD,1/29/2016 12:11:27 PM
,,,2012,INFINITI QX56 4X4 7-PASS,46995,N8AZ2NE0C9021008,"$38,500 ",ONLINE,1/29/2016 12:11:27 PM
,,,2006,BMW 3 SERIES M3,34276,WBSBR93466PK11794,"$21,000 ",ONLINE,1/29/2016 12:11:27 PM
,,,2012,BMW 740I 740I,41829,WBAKA4C52CDX20222,"$33,250 ",ONLINE,1/29/2016 12:11:27 PM
D & A AUTO SALES,"19060 Valley Blvd Bloomington, CA 92316",(909) 874-0567
,,,2000,HONDA CR-V 4X4 EX,174309,JHLRD1869YS021037,"$1,700 ",SOLD,1/29/2016 12:11:27 PM
