S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2005,NISSAN QUEST BASE,1,5N1BV28U15N100062,,,,,,,,,EAGLE FIRST AUTO DEALER,"$2,600","6167 Pleasant Valley Rd,El Dorado, CA 95623",(530) 622-6978
2,2011,CHEVROLET TRAVERSE AWD LT W/1LT,85493,1GNKVGED3BJ283304,CARS 2 GO,"$11,250","633 9th Ave San Diego, CA 92101",(877) 488-4224,,,,,LA PLAYITA AUTO SALES INC,"$12,250","2955 E Firestone Blvd South Gate, CA 90280",(323) 566-4846
3,2006,CADILLAC CTS,150166,1G6DP577860175587,,,,,JOHNNYS MOTORS INC,"$2,700","1635 W 5th St Santa Ana, CA 92703",(714) 540-1488,,,,
4,2006,CHEVROLET TAHOE 4X4 V8 LT,205655,1GNEK13T84R318369,,,,,,,,,RD MOTOR SPORTS,"$3,900","3301 Portola Dr Ste B Santa Cruz, CA 95062",(831) 462-3195
5,2009,BMW 550I,94282,WBANW53589CT55953,CARS 2 GO,"$11,500","633 9th Ave San Diego, CA 92101",(877) 488-4224,,,,,WOO CONSOLIDATED LLC,"$11,750",NA,NA
,,,,,WOO CONSOLIDATED LLC,"$11,750",NA,NA,,,,,,,,
6,2013,ACURA ILX,32656,19VDE1F53DE013701,DALLAS PREOWNED AUTO G,"$13,000","3404 Wiley Post Rd Carrollton, TX 75006",(972) 914-8232,,,,,COURTESY CHEVROLET CENTER,"$13,750","750 Camino Del Rio N San Diego, CA 92108",(619) 297-4340
,,,,,COURTESY CHEVROLET CENTER,"$13,750","750 Camino Del Rio N San Diego, CA 92108",(619) 297-4340,,,,,,,,
7,2010,TOYOTA YARIS,69858,JTDBT4K36A1392802,AUTO WHOLESALE COMPANY,"$5,800","10231 Garden Grove Blvd Garden Grove, CA 92843",(714) 636-5800,,,,,AUTO WHOLESALE COMPANY,"$5,800","10231 Garden Grove Blvd Garden Grove, CA 92843",(714) 636-5800
,,,,,CAR 1234 INC,"$5,700","982 Broadway El Cajon, CA 92021",(619) 647-4841,,,,,,,,
8,2001,NISSAN SENTRA GXE,202263,3N1CB51D9L504415,,,,,CREST MOTORS,$900,6825 S Figueroa St  Los Angeles California,(323) 778-6695,,,,
9,2011,BNISSAN SENTRA 2.0,47496,3N1AB6AP3BL705719,,,,,,,,,DESERT AUTO DEALER,"$4,700","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300
10,2004,CHEVROLET TAHOE 4X4 V8 Z71,170449,1GNEK13Z14R263168,CARS 2 GO,"$3,700","633 9th Ave San Diego, CA 92101",(877) 488-4224,,,,,JOHNNYS MOTORS INC,"$3,800","1635 W 5th St Santa Ana, CA 92703",(714) 540-1488
11,2013,FORD F150 4X4 RG XL,83451,1FTMF1EF1DKD84254,PASO ROBLES FORD LINCOLN MERCURY,"$14,750","2401 Oakwood St Paso Robles, CA 93446",(805) 239-3673,PASO ROBLES FORD LINCOLN MERCURY,"$14,750","2401 Oakwood St Paso Robles, CA 93446",(805) 239-3673,,,,
12,2013,FORD F150 4X4 RG XL,56721,1FTNF1EF9DKF71410,PASO ROBLES FORD LINCOLN MERCURY,"$17,250","2401 Oakwood St Paso Robles, CA 93446",(805) 239-3673,HEMBORG FORD,"$17,500","1900 Hamner Ave Norco, CA 92860",(951) 737-6151,,,,
13,2011,RAM 1500 4X4 CR BIG HORN,55573,1D7RV1CT8BS576369,,,,,LEGACY CARS,"$23,500","670 El Cajon Blvd El Cajon, CA 92020",(619) 442-0916,,,,
14,2006,MERCEDES S350W,108017,WDBNF67J76A473756,ZRV AUTO INC,"$5,500","1215 W Imperial Hwy Ste 103-B Brea, CA 92821",(877) 264-5808,PATS AUTO SALE,"$6,600","5326 Avalon Blvd, Los Angeles, CA 90011",(323) 234-1800,,,,
15,2012,NISSAN ALTIMA 4C 2.5 SL,24542,1N4AL2AP5CC160712,STERLING IMPORTS LTD,"$10,750","909 N Harbor Blvd Santa Ana, CA 92703",(714) 554-5127,,,,,CARMAX # 7129,"$11,500","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
16,2008,FORD F150 4X4 CR XLT,203530,1FTRW14W98FB53172,TOP NOTCH AUTO LOCATOR LLC,"$6,500","28046 Del Rio Rd Ste A Temecula, CA 92590",(951) 694-4411,,,,,,,,
17,2004,LINCOLN TOWN CAR SIGNATURE,219335,1LNHM81W64Y647028,RIGHT OF WAY FIELD SERVICES INC,"$5,100",NOT APPLICABLE,NOT APPLICABLE,,,,,RIGHT OF WAY FIELD SERVICES INC,"$5,100",NA,NA
18,2014,TOYOTA SIENNA FWD LE,20996,5TDKK3DC4ES423922,FAMILY AUTO SALES,"$17,250","933 S Western Ave Los Angeles, CA 90006",(213) 507-8432,FAMILY AUTO SALES,"$17,250","933 S Western Ave Los Angeles, CA 90006",(213) 507-8432,,,,
19,2014,HONDA CIVIC LX,20280,19XFB2F52EE212531,,,,,,,,,CARMAX # 7129,"$13,000","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
20,2005,CHEVROLET 1500 SUB 4X2 V8,106013,3GNEC16Z15G169642,CARS 2 GO,"$5,200","633 9th Ave San Diego, CA 92101",(877) 488-4224,,,,,,,,
,,,,,ATLAS AUTOMOTIVE,"$5,800","4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257,,,,,,,,
21,2013,HONDA ODYSSEY,34788,5FNRL5H63DB012512,NORM REEVES HONDA SUPERSTORE HUNTINGTON BEACH,"$22,500","19131 Beach Boulevard Huntington Beach, CA 92648",(888) 405-0115,,,,,SUBARU EL CAJON,"$22,750","900 Arnele Ave El Cajon, CA 92020",(619) 440-0404
22,2013,HONDA CR-V FWD EX-L,33619,5J6RM3H70DL042665,CREST NISSAN OF FRISCO,"$17,750","6600 State Hwy 121 Frisco, TX 75034",(855) 978-7941,,,,,CREST NISSAN OF FRISCO,"$17,750","6600 State Hwy 121 Frisco, TX 75034",(855) 978-7941
23,2014,CHEVROLET TAHOE 4X2 LT,15849,1GNSCBE07ER249457,CHEVROLET OF GLENDORA,"$30,250","1959 Auto Centre Dr Glendora, CA 91740",(909) 474-7364,,,,,,,,
24,2014,AUDI A6 AWD 4C 2.0T PRM +,24578,WAUGFAFC8EN077193,FORT WORTH AUDI,"$30,750","116 University Drive, Fort Worth, Texas 76107",(817) 632-6700,,,,,FORT WORTH AUDI,"$30,750","116 University Drive, Fort Worth, Texas 76107",(817) 632-6700
25,2010,JEEP CHEROKEE 4X4 V6 LAREDO,85358,1J4PR4GK7AC147400,AUTO PLAZA,"$10,400","798 S 1st St San Jose, CA 95113",(408) 288-6266,AUTO PLAZA,"$10,400","798 S 1st St San Jose, CA 95113",(408) 288-6266,,,,
26,2007,BMW 750I,155240,WBAHN83587DT70509,,,,,STATEWIDE,"$5,000","12039 Branford St Sun Valley, CA 91352",(818) 897-1009,,,,
27,2005,TOYOTA SEQUOIA 4X2 LIMITED,164132,5TDZT38A85S243525,AUTO MART USA,"$6,700","4199 Union Ave Bakersfield, CA 93305",(661) 864-7990,AUTO MART USA,"$6,700","4199 Union Ave Bakersfield, CA 93305",(661) 864-7990,,,,
28,2009,AUDI A4 AWD 4C,66472,WAULF8K09A057281,JIMS AIUTO SALES LLC,"$11,000","9135 Sierra Ave Fontana, CA 92335",(909) 452-8262,LA CAR GALLERY INC,"$11,500","21323 Devonshire St Chatsworth, CA 9131",(818) 824-4846,,,,
29,2006,BMW 325I,102146,WBAVB13536KX44652,CARS 2 GO,"$5,100","633 9th Ave San Diego, CA 92101",(877) 488-4224,,,,,,,,
30,2002,HONDA ACCORD 4C EX,79872,1HGCG32722A034184,,,,,M/M AUTO SALES,"$3,500",Not applicable,Not applicable,,,,
31,2011,LAND ROVER RR S/C SC,64077,SALMF1E43BA347605,,,,,,,,,RIVERSIDE PREMIER MOTORS,"$30,000","247 W La Cadena Dr Riverside, CA 92501",(951) 394-3552
32,2012,CHEVROLETR VOLT,78195,1G1RF6E47CU115733,SLS AUTO WHOLESALE,"$6,250",NOT APPLICABLE,NOT APPLICABLE,ANAHEIM PRE OWNED CARS,"$9,400","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,,,,
,,,,,ANAHEIM PRE OWNED CARS,"$9,400","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,,,,,,,,
33,2009,CHEVROLET TAHOE 4X4 V8 LTZ,99757,1GNFK33049R220677,CARS 2 GO,"$18,500","633 9th Ave San Diego, CA 92101",(877) 488-4224,,,,,,,,
,,,,,STUDIO CITY AUTO GROUP,"$19,250","7909 Van Nuys Blvd Ste E Los Angeles, CA 91402",(818) 350-3109,,,,,,,,
,,,,,AUTO PROZ,"$21,750","920 El Cajon Blvd,El Cajon, CA 92020",(619) 440-3000,,,,,,,,
34,2014,FORD ESCAPE FWD 4C S ,20663,1FMCU0F77EUB31878,MOJAVE FORD OF BARSTOW -MOJAVE NISSAN OF BARSTOW,"$13,000",NOT APPLICABLE,NOT APPLICABLE,,,,,CARMAX # 7129,"$13,250","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
35,2009,CHEVROLET MALIBU 4C,98734,1G1ZG57B79F169300,GRAND AUTOLAND,"$5,250","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,CACTUS JACKS AUTOS,"$5,800",Not applicable,Not applicable,,,,
36,2007,NISSAN MATRIX,178319,2T1KR32E17C671749,EZ AUTO SALES RENTAL,"$1,800","6747 Mission St Daly City, CA 94014",(650) 755-0134,SUPER AUTOS DEL VALLEY SA DE CV,"$1,900",Not applicable,Not applicable,,,,
37,2002,NISSAN ALTIMA V6 SE,153902,1N4BL11D82C185834,,,,,EXCEPTIONAL AUTO SALES,"$1,300","2155 E 5th Ave Columbus, OH 43219",(614) 252-9495,,,,
38,2005,FORD MUSTANG V6 CPE,119094,1ZVFT80N955172787,,,,,DREAMERS AUTO SALES,"$3,400","3808 Baldwin Blvd Corpus Christi, TX 78405",(361) 888-7792,,,,
39,2003,FORD RANGER 4X2 EX XLT,166764,1FTYR14U43PB64701,,,,,EXPRESS AUTO GROUP,"$2,500","4385 B Twain Ave San Diego, CA 92120",(619)-521-1000,,,,
40,2008,CHEVROLET TAHOE 4X2 V8,124370,1GNFC13578R213881,CARS 2 GO,"$9,500","633 9th Ave San Diego, CA 92101",(877) 488-4224,MIKES AUTO SALES,"$11,000","529 El Camino Real San Bruno, CA 94066",(650) 827-9700,,,,
,,,,,NORTH BAY AUTO INC,"$10,750","2771 N Main St Walnut Creek, CA 94597",(925) 448-9309,,,,,,,,
41,2013,FORD ESCAPR FWD 4C,110960,1FMCU0F71DUB71307,,,,,KLASS MOTORS,"$9,750","925 N Harbor Blvd Santa Ana, CA 92703",(855) 880-4514,,,,
42,2011,TOYOTA HIGHLNDR FWD V6 SE,85993,5TDZK3EH5BS025638,ANDERSON HONDA,"$18,500","1766 Embarcadero Rd Palo Alto, CA 94303",(650) 804-7575,ANDERSON HONDA,"$18,500","1766 Embarcadero Rd Palo Alto, CA 94303",(650) 804-7575,,,,
43,2007,FORD ESCAPE FWD V6 XLT,101769,1FMYU03157KA76867,,,,,CACTUS JACKS AUTOS,"$5,500",Not applicable,Not applicable,,,,
44,2007,BMW 6 SERIES M6,102139,WBSEK93507CS32353,THE TAVERNA COLLECTION,"$16,250","2060 Tigertail Blvd Ste G Dania Beach, FL 33004","(888) 730-5550
",EUROPEAN AUTO CONNECTION,"$16,500","6904 Miramar Rd Ste 109 San Diego, CA 92121",(858) 800-7400,,,,
,,,,,WOO CONSOLIDATED LLC,"$16,000",NA,NA,,,,,,,,
45,2006,TOYOTA MATRIX FWD,127628,2T1KR32E86C591332,,,,,LA MOTORS,"$2,700","1930 W 6th St Los Angeles, CA 90057",(213) 379-5962,,,,
46,2006,NISSAN MURANO FWD S,89700,JN8AZ08TX6W421601,,,,,CACTUS JACKS AUTOS,"$6,200",Not applicable,Not applicable,,,,
47,2011,FORD EDGE FWD V6 SPORT,82692,2FMDK3AK5BBB35257,ATLAS AUTOMOTIVE,"$15,800","4120 Fountain Ave Los Angeles, CA 90029",(323) 660-4257,CALIFORNIA AUTO WHOLESALE,"$15,900","38623 Fremont BlvdSte 160 Fremont, CA 94536",(510) 474-0410,,,,
48,2004,LAND ROVER RANGE ROVER 4.4 HSE,68229,SALMF11464A163235,,,,,ROSE AUTO SALES INC,"$11,700","10385 Friars Rd San Diego, CA 92120",(619) 283-7560,,,,
49,2013,TOYOTA SIENNA FWD XLE,23232,5TDYK3DC7DS405374,SOCAL MOTORS,"$22,000","5391 Holt Blvd Montclair, CA 91763",(909) 625-2800,CARMAX # 7129,"$24,500","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667,,,,
,,,,,GREENLIGHT MOTORS,"$23,250","38872 Fremont Blvd Fremont, CA 94536",(510) 792-7100,,,,,,,,
,,,,,FINDLAY HYUNDAI SABARU,"$2,300",NA,NA,,,,,,,,
,,,,,MOJAV TOYOTA & CHRYSLER DGE JEEP RAM OF BARSTOW,"$23,750",NA,NA,,,,,,,,
,,,,,AUTOHAUS,"$24,250","386 Encinitas Blvd Encinitas, CA 92024",(760) 334-0193,,,,,,,,
50,2008,TOYOTA COROLLA S,87487,1NXBR30E582951466,VALLEYS BEST AUTO SALES,"$3,800","7503 Reseda Blvd, Reseda, CA 91335",(818) 600-8159,RIVERSIDE CAR SALES WHOLESALE,"$4,700","5900 Sycamore Canyon Blvd. Riverside, CA 92507",877-774-2131,,,,
51,2008,TOYOTA YARIS,83694,JTDBT923584006487,GRAND AUTOLAND,"$4,100","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,CACTUS JACKS AUTO SALES,"$4,600","1660 W Bell Rd Phoenix, AZ 85023",(602) 788-8300,,,,
52,2013,GMC YUK XL 1500 4X2 DENALI,34594,1GKS1MEF8DR372590,,,,,,,,,CARMAX # 7129,"$38,000","6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
53,2011,GMC SR 1500 4X4 EX SLT,136041,1GTV2WE21BZ412746,JDS AUTO OUTLET INC,"$14,750","2110 E Mineral King Ave Ste A Visalia, CA 93292",(559) 636-2886,BARSTOW AUTO SALES,"$15,000","1016 Barstow Ave Clovis, CA 93612",(559) 325-3104,,,,
,,,,,BARSTOW AUTO SALES,"$15,000","1016 Barstow Ave Clovis, CA 93612",(559) 325-3104,,,,,,,,
54,2010,CHEVROLET MALIBU 4C LT W/1LT,96306,1G1ZC5EB3AF178322,BARSTOW AUTO SALES,"$6,400","1016 Barstow Ave Clovis, CA 93612",(559) 325-3104,CACTUS JACKS AUTOS,"$6,300",Not applicable,Not applicable,,,,
55,2012,TOYOTA CAMRY 4C LE,34031,4T1BF1FK6CU032806,FAMILY AUTO SALES,"$12,500","933 S Western Ave Los Angeles, CA 90006",(213) 507-8432,,,,,,,,
,,,,,RIVERSIDE PREMIER MOTORS,"$12,000","247 W La Cadena Dr Riverside, CA 92501",(951) 394-3552,,,,,,,,
56,2006,DODGE MAGNUM 4X2 V8 R/T,64787,2D4GV57296H204694,TRUCARS OC,"$8,800",NOT APPLICABLE,NOT APPLICABLE,CALIFORNIA CAR COMPANY,"$8,900","601 S Brea Blvd Brea, CA 92821",(714) 256-8600,,,,
,,,,,VOLKSWAGEN OF MURRIETA,"$7,900","41300 Date St Murrieta, CA 92562",(855) 225-1609,,,,,,,,
,,,,,FIESTA MOTORS,"$5,700","220 W Holt Blvd, Ontario, CA 91762",(909) 460-3813,,,,,,,,
57,2009,DODGE RAM 2500 4X4 6C SLT,105502,3D7KS28LX9G517396,EMOTOR SPORTZ,"$24,750","1738 Timber Ct # 3 Gardnerville, NV 89410-7601",530-362-0832,AUTO LOCATORS,"$25,250","31631 Outer Hwy 10 Redlands, CA 92373",(909) 985-6200,,,,
58,2009,TOYOTA YARIS,71138,JTDBT903694060319,MIKE'S AUTO SHACK,"$4,300","5130 E Charleston Blvd Ste 5 Las Vegas, NV 89101",(702) 457-3536,EB MOTORS,"$4,700","26871 Hobie Cr 6 Murrieta, CA 92562",(951) 223-0727,,,,
,,,,,JDS AUTO OUTLET INC,"$4,700","2110 E Mineral King Ave Ste A Visalia, CA 93292",(559) 636-2886,,,,,,,,
59,2014,JEEP GR CHERO 4X2 V6 LAREDO,31905,1C4RJEAG5EC182541,MOJAV TOYOTA & CHRYSLER DGE JEEP RAM OF BARSTOW,"$20,000",NA,NA,MOJAV TOYOTA & CHRYSLER DGE JEEP RAM OF BARSTOW,"$20,000",Not applicable,Not applicable,,,,
60,2001,HONDA ACCORD 4C VP,129084,1HGCF86631A113718,JDS AUTO OUTLET INC,"$2,100","2110 E Mineral King Ave Ste A Visalia, CA 93292",(559) 636-2886,JDS AUTO OUTLET INC,"$2,100","2110 E Mineral King Ave Ste A Visalia, CA 93292",(559) 636-2886,,,,
61,2013,NISSAN ROGUE FWD SL,24617,JN8AS5MT0DW519508,SC MOTORS INC,"$13,750","609 W Orangethorpe Ave Placentia, CA 92870",(714) 524-8400,,,,,SOUTHERN FINANCIAL,"$14,000",NA,NA
62,2014,TOYOTA TUNDRA 4X2 V8 SR5,11266,5TFRY51XEX161306,VOLKSWAGEN OF MURRIETA,"$26,750","41300 Date St Murrieta, CA 92562",(855) 225-1609,VOLKSWAGEN OF MURRIETA,"$26,750","41300 Date St Murrieta, CA 92562",(855) 225-1609,,,,
,,,,,CAPISTRANO VOLKSWAGEN,"$26,500","32922 Valle Rd San Juan Capistrano, CA 92675",(866) 925-1603,,,,,,,,
63,2012,JEEP WRANG UNLTD SPORT,45300,1C4BJWDG4CL138286,I CARS INC,"$21,500","1220 S Victory Blvd Burbank, CA 91506",(818) 848-2277,,,,,,,,
64,2011,CHEVROLET 1500 SLV 4X2 CR LT,83583,3GCPCSE07BG211821,SIERRA AUTO CENTER,"$18,750","4175 N Blackstone Ave Fresno, CA 93726",(559) 228-8700,AMERICA AUTO SALES,"$19,500","547 Brundage Ln Bakersfield, CA 93304",(661) 282-8844,,,,
65,2015,CADILLAC ESCAL ESV 4X4 LUXURY,14875,1GYS4HKJFR241408,ANAHEIM PRE OWNED CARS,"$66,250","2223 E. Katella Ave Ste B Anaheim, CA 92806",(714) 400-5274,,,,,,,,
66,2002,DODGE DAKOTA 4X4 V8 SPORT,145702,1B7HG38N72S530585,STUNNING AUTO,"$3,300","2015 Marconi Ave Sacramento, CA 95821",(916) 802-1447,RIVERSIDE PREMIER MOTORS,"$3,400","247 W La Cadena Dr Riverside, CA 92501",(951) 394-3552,,,,
67,2001,CHEVROLET 1500 SLV 4X2 EX LS,131813,2GCEK19T711372086,AUTO IMAGE,"$5,300","5460 Country Club Pkwy San Jose, CA 95138",(408) 529-0583,ROADRUNNER AUTO SALES & RENTALS,"$5,400","21024 Sherman Way Canoga Park, CA 91303",(888) 749-5919,,,,
68,2009,MINI CLUBMAN,85263,WMWML33529TN68843,OC MOTORCARS,"$5,400","1805 Placentia Ave\ Costa Mesa, CA 92627",(949) 650-7833,OC MOTORCARS,"$5,400","1805 Placentia Ave\ Costa Mesa, CA 92627",(949) 650-7833,,,,
