S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
20,2015,CHEVROLET TAHOE 4X2 LT,7900,1GNSCBKCXFR306766,LOTUS OF LAS VEGAS,"$44,000 ",NA,NA,LOTUS OF LAS VEGAS,"$44,000 ",NA,NA,,,,
21,2014,HYUNDAI VELOSTER R-SPEC,27923,KMHTC6AE6EU200247,SC MOTORS INC,"$12,500 ","609 W Orangethorpe Ave Placentia, CA 92870",(714) 524-8400,CARMAX # 7136,"$13,300 ","1131 Central Ave Duarte, CA 91010",(626) 357-9972,,,,
22,2011,BMW 550IA 550I AUTO,61417,WBAFR9C5XBC757711,NORTH STATE AUTO,"$23,500 ","2244 N Main St Walnut Creek, CA 94596",(925) 979-1111,,,,,ALEXANDER AUTO,"$23,750 ","2092 Omega Rd San Ramon, CA 94583",(925) 831-2053
23,2013,BMW X1,39748,WBAVM1C5XDVW41492,,,,,CARMAX # 7136,"$17,800 ","1131 Central Ave Duarte, CA 91010",(626) 357-9972,,,,
24,2008,MAZDA MIATA MX-5 GR TOURING,138818,JM1NC25F480151666,,,,,SIMPLE AUTO SALES,"$5,600 ","8787 Monterey rd Gilroy, CA 95020",(408) 842-1514,,,,
25,2006,CHEVROLET 1500 SLV 4X4 CR,89346,2GCEK13Z361272412,,,,,DOLLAR BILL AUTO SALES INC,"$14,100 ","1234 E Center Ave Visalia, CA 93292",(559) 739-2886,,,,
26,2014,FORD MUSTANG V8 CPE GT,19046,1ZVBP8CF4E5310064,,,,,STG AUTO GROUP,"$21,500 ","1153 W Holt Blvd Ontario, CA 91762",(909) 984-6595,,,,
27,2012,NISSAN TITAN 4X2 CR SV,54736,1N6AA0EK0CN324193,,,,,UNITED NISSAN,"$17,000 ","3025 E Sahara Ave Las Vegas, NV 89104", (702) 832-5480,,,,
28,2011,MINI COOPER,53871,WMWZN3C52BT265096,,,,,CARMAX # 7136,"$9,500 ","1131 Central Ave Duarte, CA 91010",(626) 357-9972,,,,
29,2008,PONTIAC G8 V6,48883,6G2ER57728L146560,TRUE NORTH MOTORS INC,"$9,500 ","1111 Rancho Conejo Blvd Ste 308 Thousand Oaks, CA 91320",(805) 376-6080,,,,,,,,
30,2013,HONDA ODYSSEY EX-L,20030,5FNRL5H66DB015520,FINDLAY KI,"$24,750 ",not applicable,not applicable,CARMAX # 7136,"$25,000 ","1131 Central Ave Duarte, CA 91010",(626) 357-9972,,,,
31,2007,GMC YUK XL DEN AWD,133180,1GKFK66897J371817,GLENDORA MOTORSCARS,"$11,750 ","612 E Rt 66 Glendora, CA 91740",(626) 335-0555,PURE MOTORS,"$13,250 ","3300 Auburn Blvd Ste 1 Sacramento, CA 95821",(844) 252-7873,,,,
,,,,,EM MOTORS,"$12,750 ","7400 W State St Boise, ID 83714",(208) 853-2886,,,,,,,,
,,,,,"CITY AUTO SALES, LLC","$13,000 ","400 North Johnson Ave El Cajon, CA 92020",(619) 588-4349,,,,,,,,
32,2005,LAND ROVER LR3 V8 SE,99562,SALAE25475A328314,BALLERS,"$6,900 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,BALLERS,"$6,900 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,,,,
33,2013,LEXUS ES 350,44568,JTHBK1GG5D2080870,,,,,LITTLE EUROPE AUTO,"$22,000 ","1130 S La Brea Ave Inglewood, CA 90301",(310) 412-2022,,,,
34,2010,HYUNDAI GENESIS V6 GRAND TOUR,48097,KMHHU6KH6AU006663,,,,,CARMAX # 7136,"$10,500 ","1131 Central Ave Duarte, CA 91010",(626) 357-9972,,,,
35,2011,AUDI A4 AWD 2.0T PRM +,101913,WAUWFAFL3BA026103,,,,,DRIVETIME,"$12,700 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
36,2008,CHEVROLET 1500 SLV 4X2 CR LTZ,156836,2GCFC13Y581227886,,,,,PACOIMA MOTORS,"$13,500 ","13472 Louvre St Los Angeles, CA 91331",(818) 532-2927,,,,
37,2013,HONDA CIVIC LX,59132,19XFB2F59DE276225,WORLDWIDE MOTORS,"$8,500 ","9560 Black Mountain Rd Ste B San Diego, CA 92126
",(858) 999-3060,K/J AUTO EXCHANGE,"$9,100 ","2430 Tapo St Simi Valley, CA 93063",(805) 527-5265,,,,
38,2014,CADILLAC XTS AWD LUXURY,31412,2G61N5S36E9152813,,,,,ALEXANDER AUTO,"$27,750 ","2092 Omega Rd San Ramon, CA 94583",(925) 831-2053,,,,
39,2005,VOLKSWAGEN BEETLE,69236,3VWCK31C55M412983,,,,,JP AUTO WHOLESALE,"$3,250 ","3597 Nevada St, Pleasanton, CA 94566",(925) 460-9444,,,,
40,2011,HONDA PILOT FWD TOURING,87352,5FNYF3H9XBB019732,,,,,ROYAL MOTORS WHOLESALE,"$17,100 ",n/a,n/a,,,,
41,2007,BMW X3 3.0L,107452,WBXPC93427WF10436,DESERT AUTO DEALER,"$7,600 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,SANTA MONICA MOTOR CARS,"$7,700 ","3118 Lincoln Blvd Santa Monica, CA 90405",(310) 314-1533,,,,
42,2008,GMC ACADIA FWD SLT2,128320,1GKER33778J236628,,,,,LA MESA AUTO SALES INC,"$8,700 ","2851 E Gage Ave Huntington Park, CA 90255-4353",(323) 581-0672,,,,
43,2004,LEXUS RX 330 FWD,91801,JTJGA31U640037734,BALLERS,"$9,400 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,BALLERS,"$9,400 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,,,,
,,,,,SMALL TOWN AUTO SALES,"$9,300 ","666 W State St Hurricane, UT 84737",(435) 635-2501,,,,,,,,
44,2012,AUDI Q5 4C 2.0T PRM +,75926,WA1LFAFP6CA073825,"CITY AUTO SALES, LLC","$19,250 ","400 North Johnson Ave El Cajon, CA 92020",(619) 588-4349,"CITY AUTO SALES, LLC","$19,250 ","400 North Johnson Ave El Cajon, CA 92020",(619) 588-4349,,,,
45,2008,HONDA S2000 CR,67737,JHMAP21288S000063,NATIONWIDE AUTO WAREHOUSE,"$12,000 ","4541 W CHESTNUT EXPWY SPRINGFIELD, MO 65802",417-720-1088,,,,,,,,
46,2004,GMC SIERA 25 4X4 EX SLE,111850,1GTHK29U44E329517,,,,,D & E AUTO SALES,"$9,500 ",N/A,N/A,,,,
47,2010,HONDA CIVIC DX-VP,86670,19XFA1E31AE028804,,,,,ASAY'S AUTOS LLC,"$7,000 ",not applicable,not applicable,,,,
48,2009,NISSAN ALTIMA 4C 2.5 S,122078,1N4AL21E39C175698,,,,,BROTHERS AUTO SALES,"$5,600 ",Not applicable,Not applicable,,,,
49,2012,RAM 1500 4X2 V8 SLT,64809,1C6RD6GP8CS225512,,,,,ALEXANDER AUTO,"$14,800 ","2092 Omega Rd San Ramon, CA 94583",(925) 831-2053,,,,
50,2010,TOYOTA FJ CRUISER 4X4,114630,JTEBU4BF6AK080525,"CITY AUTO SALES, LLC","$15,700 ","400 North Johnson Ave El Cajon, CA 92020",(619) 588-4349,,,,,,,,
51,2014,LEXUS IS 250 4X2,35509,JTHBF1D23E5000818,,,,,CERTIFIED BENZ & BEEMER,"$25,000 ","6725 E McDowell Rd Scottsdale, AZ 85257",(888) 553-7071,,,,
52,2013,HONDA CR-V FWD EXL,30903,2HKRM3H72DH501883,NATIONWIDE AUTO WAREHOUSE,"$17,250 ","4541 W CHESTNUT EXPWY SPRINGFIELD, MO 65802",417-720-1088,PANDA MOTORS INC,"$17,500 ","10371 Beach Boulevard  Stanton, CA 90680",(714) 947-1900,,,,
53,2003,HONDA CR-V 4X4 EX,134635,JHLRD78873C038278,PRECISION INCORPORATED,"$5,400 ",N/A,N/A,PEAK CARS INC,"$5,800 ","34 Quinns Rd Bozeman, MT 59718",(406) 570-7379,,,,
54,2007,CHEVROLET 3500 4X4 CREW DRW LT1,187548,1GCJK33637F550963,OC AUTOS,"$15,400 ","707 N Harbor Blvd Santa Ana, CA 92703",(714) 265-2600,PREMIUM WHEELS USA LLC,"$15,500 ","1974 Placentia Ave, Costa Mesa, CA 92627",(949) 423-7281,,,,
,,,,,KINGS CARS INC,"$15,100 ","8220 Foothill Blvd Ste 12 Sunland, CA 91040",(818) 332-5772,,,,,,,,
,,,,,US MOTORS & FINANCE LLC,"$15,000 ","17832 S Dixie Hwy Ste 4 Miami, FL 33157",(305) 378-1300,,,,,,,,
55,2008,SUZUKI XL7 FWD LUXURY,131110,2S3DB417086124112,,,,,HIGUERA'S AUTOS,"$2,800 ","31 Higuera St San Luis Obispo, CA 93401",(805) 543-9502,,,,
56,2011,DODGE CHARGER 4X2 V6,66750,2B3CL3CG4BH503058,,,,,AMERICA AUTO SALES/LEASING INC,"$12,900 ",5910 Firestone Blvd South Gate 90280 CA,5628066000,,,,
57,2007,NISSAN MURANO AWD SE,131601,JN8AZ08W37W666509,,,,,JPJ AUTO INC,"$6,600 ","2801 E Cesar E Chavez Ave,Los Angeles, CA 90033",(323) 261-0377,,,,
58,2014,CHRYSLER TOWN & COUN TOURING,27404,2C4RC1BG3ER209048,BLOOMINGTON LINCOLN ME,"$15,500 ","1001 Clover Dr Bloomington, MN 55420",(952) 888-2271,CAR TOWN,"$15,750 ","798 S 1st St San Jose, CA 95113",(408) 288-6266,,,,
59,2006,CHEVROLET 2500 SUB 4X4 V8 LT,74995,3GNGK26U66G127880,,,,,JS LOVEMOTORS,"$12,000 ","2315 S La Brea Ave Los Angeles, CA 90016-2223",323-965-1111,,,,
60,2007,TOYOTA CAMRY 4C,92470,JTNBE46K373086354,,,,,DREAMERS AUTO SALES,"$6,300 ","3808 Baldwin Blvd Corpus Christi, TX 78405",(361) 888-7792,,,,
61,2010,DODGE CHARGER 4X2 V6 SXT,77967,2B3CA3CV3AH274942,,,,,EMPIRE AUTO CENTER,"$9,100 ","100 E DYER RD SANTA ANA, CA 92707",714 556 1494,,,,
62,2007,TOYOTA CAMRY 4C LE,102324,4T1BE46K07U722318,,,,,EMPIRE AUTO CENTER,"$5,800 ","100 E DYER RD SANTA ANA, CA 92707",714 556 1494,,,,
63,2007,TOYOTA AVALON,134056,4T1BK36B77U188902,,,,,COVAS AUTO ,"$4,300 ","560 W 3rd St 4 Rialto, CA",951/334-3447,,,,
64,2003,BMW 325I,106234,WBAEV33463KL84718,CAR POWER AUTO SALES,"$3,600 ","1325 E Truxtun Ave Bakersfield, CA 93305",(661) 695-2321,LRG MOTORS LLC,"$3,800 ","1551 W. 13th St. Unit 112,Upland, CA 91786",888-729-4085,,,,
,,,,,WOODLAND HILLS QUALITY MOTORS,"$3,750 ","18746 Sherman Way Reseda, CA 91335",(818) 609-0433,,,,,,,,
,,,,,MVB CAR INC,"$3,650 ","6760 University Ave # 210-5 San Diego, CA 92115",(619) 269-6424,,,,,,,,
,,,,,CAVE MOTORSPORTS,"$3,500 ",NA,NA,,,,,,,,
,,,,,LRG MOTORS LLC,"$3,800 ","1551 W. 13th St. Unit 112,Upland, CA 91786",888-729-4085,,,,,,,,
65,2003,CHEVROLET TAHOE 4X4 V8,125707,1GNEK13T33R168296,GLENDORA MOTORSCARS,"$3,800 ","612 E Rt 66 Glendora, CA 91740",(626) 335-0555,5 GRAND AUTOLAND,"$4,500 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,,,,
,,,,,5 GRAND AUTOLAND,"$4,500 ","515 Oceanside Blvd. Oceanside, CA 92054",(760) 231-8899,,,,,,,,
,,,,,ACE AUTO SALES,"$4,200 ","3124-A Rosecrans Ave., Hawthorne, CA 90250",310-973-8828,,,,,,,,
66,2005,TOYOTA HIGHLNDR FWD V6,250484,JTEDP21A150065278,,,,,CREST MOTORS,"$5,000 ",6825 S Figueroa St  Los Angeles California,(323) 778-6695,,,,
67,2001,FORD F450 4X2 CR,168092,1FDXW46FX1EB82046,,,,,CLEAR CHOICE AUTO,"$5,500 ","5200 Simpson Ferry Rd Mechanicsburg, PA 17050",(855) 239-3543,,,,
68,2006,DODGE DAKOTA 4X2 QD SLT,121588,1D7HE48N16S664760,REV IT MOTORS,"$5,800 ","11937 Woodside Ave Ste B Lakeside, CA 92040",(619) 493-3800,REV IT MOTORS,"$5,800 ","11937 Woodside Ave Ste B Lakeside, CA 92040",(619) 493-3800,,,,
69,2007,LEXUS GS 450H,117740,JTHBC96S475006442,BALLERS,"$12,900 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,CAR LUX INC,"$13,000 ","843 S La Brea Ave Inglewood, CA 90301",(310) 412-9072,,,,
70,2007,HONDA FIT SPORT,239445,JHMGD37617S065287,MOTORS 559,"$1,900 ","1032 N Blackstone Ave Fresno, CA 93701",(559) 237-3542,MOTORS 559,"$1,900 ","1032 N Blackstone Ave Fresno, CA 93701",(559) 237-3542,,,,
71,2006,CHEVROLET TAHOE 4X2 V8 LS,168884,1GNEC13T46R121697,,,,,KINGS MOTOR GROUP,"$5,700 ","1785 Mentone Blvd Mentone, CA 92359",(909) 389-1010,,,,
72,2006,VOLKSWAGEN JETTA 5C 2.5L,106795,3VWSG71K86M624287,,,,,CG WHOLESALE LLC,"$3,650 ",Not applicable,Not applicable,,,,
73,2005,VOLKSWAGEN BEETLE,103386,3VWCM31Y65M302904,ONUR AUTO,"$2,000 ","521 North Mountain Avenue # J Upland, CA 91786",(909) 931- 7951,ONUR AUTO,"$2,000 ","521 North Mountain Avenue # J Upland, CA 91786",(909) 931- 7951,,,,
,,,,,CAR POWER AUTO SALES,"$1,900 ","1325 E Truxtun Ave Bakersfield, CA 93305",(661) 695-2321,,,,,,,,
74,2003,CADILLAC CTS,78967,1G6DM57N330137199,DESERT AUTO DEALER,"$4,000 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,ADVANCE AUTO GROUP,"$4,100 ","2116 Troy Ave South El Monte, CA 91733",(626) 575-0252,,,,
75,2002,ACURA RSX TYPE-S,173398,JH4DC53042C026117,,,,,AJ'S AUTO CENTER,"$3,400 ","8575 Weyand Ave, Sacramento, CA 95828
",(916) 386-2770,,,,
76,2007,FORD F150 4X2 RG XL,138303,1FTRF12297KC12310,,,,,SHIVA ENTERPRISE AUTO SALES,"$4,200 ","1829 18th St 93301-4308, Bakersfield (CA)",6613257777,,,,
77,2010,FORD FUSION FWD 4C HYBRID,142313,3FADP0L36AR107838,,,,,SARABIA AUTO SALES LLC,"$4,400 ","83197 Requa Ave Indio, CA 92201",(760) 775-6440,,,,
78,2005,CHEVROLET 2500 SLV 4X4 CR LT,229017,1GCHK23215F874058,CLEAR CHOICE AUTO,"$10,900 ","5200 Simpson Ferry Rd Mechanicsburg, PA 17050","(855) 239-3543
",WEST COAST MOTORS LLC,"$11,000 ","3011 N 73rd Ste 111 Scottsdale, AZ 85251",(602) 402-3987,,,,
79,2006,AUDI A4 AWD 4C 2.0T,163921,WAUDF78E46A046326,,,,,VIZA AUTO,"$2,500 ",N/A,N/A,,,,
80,2008,FORD EXPEDITN EL 4X4 LIMITED,202933,1FMFK20588LA46046,,,,,JPJ AUTO INC,"$6,300 ","2801 E Cesar E Chavez Ave,Los Angeles, CA 90033",(323) 261-0377,,,,
81,2004,KIA SPECTRA EX,166215,KNAFE121545017955,,,,,JCT AUTO INC,$800 ,NA,(562) 666-7231,,,,
82,2008,MERCURY MARINER FWD 4C,148985,4M2CU29H38KJ15823,,,,,TRANSFLEET US LLC,"$4,000 ","248 75th Ave  St Petersburg , Florida 33706",727-480-7400,,,,
83,2003,BMW X5 3.0L 3.0I,163717,5UXFA53503LP27183,CAVE MOTORSPORTS,"$3,400 ",,,CAVE MOTORSPORTS,"$3,400 ",NA,NA,,,,
84,2004,GMC 1500 YUK XL 4X4 SLE,162523,3GKFK16T44G145009,GLENDORA MOTORSCARS,"$3,300 ","612 E Rt 66 Glendora, CA 91740",(626) 335-0555,GALAN AUTO SALES,"$3,600 ","15633 Temple Ave La Puente, CA 91744",(877) 422-5212,,,,
85,2007,CADILLAC DTS PERFORM,172612,1G6KD57927U147649,,,,,JESSES USED CARS,"$2,600 ","10653 N Loop Dr Socorro, TX 79927",(915) 872-0454,,,,
86,2006,JEEP GR CHERO 4X2 V8 LIMITED,132754,1J8HS582X6C325691,BRAIDA,"$5,100 ",NA,NA,UNITED CAR COMPANY,"$5,000 ","640 South Atlantic Blvd Los Angeles, CA 90022",(323) 780-6195,,,,
87,2000,FORD EXCURS 4X4 V10,139682,1FMNU43SXYED84443,BRAIDA,"$4,200 ",NA,NA,WEST COAST MOTORS LLC,"$4,400 ","3011 N 73rd Ste 111 Scottsdale, AZ 85251",(602) 402-3987,,,,
88,2007,DODGE GRAND CARAV SE,111659,1D4GP24R77B178794,,,,,JP AUTO WHOLESALE,"$2,500 ","3597 Nevada St, Pleasanton, CA 94566",(925) 460-9444,,,,
89,2004,FORD EXPLORER 4X2 V8 ED BAUER,137558,1FMZU64W34UA36613,,,,,SARABIA AUTO SALES LLC,"$2,300 ","83197 Requa Ave Indio, CA 92201",(760) 775-6440,,,,
90,1999,LEXUS GS300,205347,JT8BD68S3X0077962,,,,,WIN WIN AUTO SALES INC,"$1,800 ",Not applicable,Not applicable,,,,
91,2004,HONDA ACCORD V6 EX,165595,1HGCM82604A007131,,,,,EXCEPTIONAL AUTO SALES,"$2,900 ","2155 E 5th Ave Columbus, OH 43219",(614) 252-9495,,,,
92,2002,DODGE RAM 1500,208884,1D3HU18Z02J162070,,,,,DREAMERS AUTO SALES,"$3,200 ","3808 Baldwin Blvd Corpus Christi, TX 78405",(361) 888-7792,,,,
93,2000,LEXUS RX300,178963,JT6HF10U6Y0157822,,,,,EXPO MOTORS INC,"$3,500 ","1155 E Anaheim St, Long Beach, CA 90813",(562) 599-0883,,,,
94,2000,GMC SR 1500 4X4 EX SLE,207245,1GTEK19T6YE205789,,,,,PRESTIGE AUTO REMARKETING LLC,"$3,350 ","18022 Cowan Irvine, CA 92614",Not mentioned,,,,
95,1998,MITSUBISHI MONTERO,104545,JA4MR51R1WJ003276,DESERT AUTO DEALER,"$1,500 ","74822 Joni Dr Ste 5 Palm Desert, CA 92260",(760) 660-3300,PALM DESERT AUTO,"$2,150 ","74725 Joni Dr Palm Desert, CA 92260",(760) 895-8001,,,,
96,2000,CHEVROLET G1500 EXPRESS BASE,285185,1GCFG15M8Y1258036,CAMEX AUTO SALE,"$1,250 ",Not applicable,Not applicable,CAMEX AUTO SALE,"$1,250 ",Not applicable,Not applicable,,,,
97,2003,DODGE RAM 1500 4X2 V8 SLT,135505,1D7HA18NX3S256747,CAR POWER AUTO SALES,"$4,100 ","1325 E Truxtun Ave Bakersfield, CA 93305",(661) 695-2321,BOTNET IMPORTS,"$4,200 ","12830 BURBANK BLVD NORTH HOLLYWOOD, CA 91607",1-800-280-0780,,,,
98,2005,FORD FIVE HUND FWD,140219,1FAFP23155G133427,,,,,UNIQUE MOTORSPORTS INC,$850 ,"15941 Kaplanave City of Industry, CA 91744",(626) 333-9026,,,,
99,2006,SCION XB,220973,JTLKT324464035874,,,,,BARBAS AUTO INC,"$2,200 ","1655 E 6th St Corona, CA 92879",Not mentioned,,,,
100,2005,HONDA PILOT AWD,209238,2HKYF18545H536869,,,,,COMO TU AUTO SALES INC,"$2,900 ","2310 Saldina Cir Corona, California 92879-7730",(951) 893-1872,,,,
101,2001,HONDA CR-V 4X4 LE,159967,JHLRD18781S002901,CENTRAL AUTO SALES LLC,"$2,400 ","3181 Fulton Ave Sacramento, CA 95821",(916) 333-4773,ONUR AUTO,"$2,500 ","521 North Mountain Avenue # J Upland, CA 91786",(909) 931- 7951,,,,
,,,,,ONUR AUTO,"$2,500 ","521 North Mountain Avenue # J Upland, CA 91786",(909) 931- 7951,,,,,,,,
102,2008,DODGE CHARGER 4X2 V6,112646,2B3KA43R78H326457,,,,,IVAN AUTO SALES INC,"$4,100 ","3114 45th St Ste 6 West Palm Beach, FL 33407",(561) 844-4447,,,,
103,2004,GMC YUKON 4X2 V8 SLT,145017,1GKEC13V24R178086,,,,,GALAN AUTO SALES,"$4,100 ","15633 Temple Ave La Puente, CA 91744",(877) 422-5212,,,,
104,2006,PONTIAC MONTANA SV6 FWD,145985,1GMDV33L16D122230,,,,,MOUNTAIN MAGIC MOTORS,"$1,850 ","23804 Lake Dr Crestline, CA 92325",(909) 338-5544,,,,
105,1999,NISSAN PATHFIND 4X2 SE,257018,JN8AR07SXXW363368,,,,,COMO TU AUTO SALES INC,"$1,350 ","2310 Saldina Cir Corona, California 92879-7730",(951) 893-1872,,,,
106,2000,CHEVROLET 1500 4X4 EXT SILVER LS,130029,2GCEK19V9Y1210052,,,,,VARIETY MOTOR,"$2,900 ","7833 Sepulveda Blvd, UNIT 25, Van Nuys, CA 91405","(818) 276-9685
",,,,
107,2006,NISSAN PATHFIND 4X2 LE,181215,5N1AR18U46C684335,,,,,GORDON'S AUTO SALES,"$3,100 ","15944 Valley Blvd Fontana, CA 92335",(909) 434-0650,,,,
108,2006,CHRYSLER PACIFICA FWD V6 TOURING,243990,2A4GM68466R815633,,,,,BEST NEW YORK CORP,"$1,250 ",NA,NA,,,,
109,2004,DODGE DURANGO 4X4 V8 LIMITED,133311,1D4HB58NX4F218060,,,,,AUTOSELL,"$3,500 ",Not applicable,Not applicable,,,,
110,2001,TOYOTA CAMRY 4C LE,176252,4T1BG22K91U871547,,,,,CREST MOTORS,"$2,100 ",6825 S Figueroa St  Los Angeles California,(323) 778-6695,,,,
111,2007,MAZDA MAZDA3 SPORT SPORT,122535,JM1BK34L171729010,,,,,,,,,ALLTECH AUTO SALES,"$2,200 ","865 W Glentana St # 5, Covina, CA 91722-3647",(626) 332-4331
