S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2012,SCION IQ,37241,JTNJJXB07CJ017072,,,,,ESCONDIDO AUTO SUPER CENTER,"$6,800 ","855 N Broadway Escondido, CA 92025",(760) 737-9400,,,,
2,2013,TOYOTA COROLLA S,34033,5YFBU4EE3DP127040,DISCOUNT AUTO GALLERY LLC,"$10,300 ","479 Industrial Ave,  Escondido, CA 92029",(858) 707-5215,,,,,,,,
3,2013,TOYOTA PRIUS V,35311,JTDZN3EUXD3254728,,,,,DRIVELINE FINANCIAL SERVICES,"$17,000 ","712 Vale View Drive, Vista, CA 92081",1 760-519-0399,,,,
4,2013,TOYOTA COROLLA LE,34626,5YFBU4EE7DP119989,DISCOUNT AUTO GALLERY LLC,"$9,900 ","479 Industrial Ave,  Escondido, CA 92029",(858) 707-5215,HAPPY AUTO SALES,"$10,000 ","721 N Santa Fe Ave Vista, CA 92084",(760) 724-3531,,,,
5,2012,TOYOTA CAMRY 4C LE,27229,4T4BF1FK1CR274148,,,,,CARDINALEWAY VOLKSWAGEN,"$12,200 ","2603 Wardlow Rd Corona, CA 92882",(877) 938-6381,,,,
6,2015,SCION TC,18422,JTKJF5C75FJ003139,,,,,NATIONAL CITY AUTO CENTER INC,"$13,400 ","1010 National City Blvd National City, CA 91950",(619) 477-8400,,,,
7,2015,TOYOTA COROLLA LE,19864,5YFBURHE7FP264154,,,,,TOYOTA OF EL CAJON,"$12,900 ","965 Arnele Ave El Cajon, CA 92020",(619) 440-0270,,,,
8,2013,TOYOTA COROLLA LE,95049,5YFBU4EE7DP089280,,,,,ECARS,"$7,600 ","701 Riverside Ave Roseville, CA 95678",(916) 496-4204,,,,
9,2012,SCION IQ,8304,JTNJJXB00CJ020508,,,,,ESCONDIDO AUTO SUPER CENTER,"$7,700 ","855 N Broadway Escondido, CA 92025",(760) 737-9400,,,,
10,2009,TOYOTA CAMRY 4C LE,75801,4T4BE46K89R127404,DRIVETIME,"$7,900 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,DRIVETIME,"$7,900 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
11,2013,TOYOTA COROLLA LE,59391,2T1BU4EE8DC939269,,,,,COAST SPORTS CARS INC,"$7,000 ","2680 Garnet Ave San Diego, CA 92109",1 858 270 1700,,,,
12,2013,TOYOTA COROLLA LE,29791,5YFBU4EE7DP205576,CARDINALEWAY VOLKSWAGEN,"$10,200 ","2603 Wardlow Rd Corona, CA 92882",(877) 938-6381,,,,,,,,
13,2013,SCION TC,34082,JTKJF5C77D3052988,,,,,VB MOTORSPORTS INC,"$10,000 ",NA,NA,,,,
