S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2015,TOYOTA COROLLA LE,17565,5YFBURHE9FP243614,,,,,EXXEL AUTO,"$13,000 ","964 E. El Camino Real Sunnyvale, CA 94087",(408) 461-6606,,,,
2,2013,FORD ESCAPE 4X4 4C SE,22728,1FMCU9GX9DUC77054,"HIDDEN VALLEY AUTO,LLC","$16,000 ","57 Mount Hermon Rd Scotts Valley, CA 95066",(831) 438-6640,FORD OF KIRKLAND,"$16,500 ","11800 124th Ave NE, Kirkland, WA 98034,",+1 425-821-6611,,,,
,,,,,FORD OF KIRKLAND,"$16,500 ","11800 124th Ave NE, Kirkland, WA 98034,",+1 425-821-6611,,,,,,,,
,,,,,JONES FORD,"$15,900 ","5757 Rivers Ave Charleston, SC 29406",(843) 214-2354,,,,,,,,
3,2013,FORD FLEX FWD SEL,23535,2FMGK5C82DBD03191,AUTONATION DIRECT,"$22,600 ","200 SW 1st Avenue Fort Lauderdale, FL 33301",(877) 600-3011,EAN HOLDINGS LLC,"$22,700 ",NA,NA,,,,
,,,,,JONES FORD,"$22,100 ","5757 Rivers Ave Charleston, SC 29406",(843) 214-2354,,,,,,,,
4,2013,FORD ESCAPE FWD 4C TITANIUM,24032,1FMCU0J96DUB15405,,,,,CARMAX # 7136,"$18,800 ","1131 Central Ave Duarte, CA 91010",(626) 357-9972,,,,
5,2013,FORD FIESTA SE,26531,3FADP4BJ9DM150000,EQUITY AUTO CENTER LLC,"$6,700 ","5120 W Glendale Ave Glendale, AZ 85301",(623) 466-8779,EQUITY AUTO CENTER LLC,"$6,700 ","5120 W Glendale Ave Glendale, AZ 85301",(623) 466-8779,,,,
6,2008,FORD TAURUS FWD LIMITED,60152,1FAHP25WX8G157728,,,,,BULLDOG MOTORS LLC,"$4,600 ","5832 Autoport Mall San Diego,  CA  92121-2514",(858) 689-8900,,,,
7,2014,FORD FIESTA SE,28197,3FADP4EJ9EM203503,,,,,NATIONAL AUTO PLAZA,"$7,900 ","10790 S State St Sandy, UT 84070",(888) 766-4099,,,,
8,2015,JEEP COMPASS FWD 4C LATITUDE,19644,1C4NJCEA9FD198441,,,,,PANDA MOTORS INC,"$14,000 ","10371 Beach Boulevard  Stanton, CA 90680",(714) 947-1900,,,,
9,2015,RAM 2500 4X4 CR SLT,11867,3C6UR5DL2FG552636,,,,,KARPLUS WAREHOUSE INC,"$37,000 ","10103 San Fernando Rd Pacoima, CA 91331",(888) 379-8896,,,,
10,2013,FORD FOCUS SE,29139,1FADP3F28DL145305,PREMIER HYUNDAI OF OAKLAND,"$9,500 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,UNKNOWN ,"$9,600 ",NA,NA,,,,
11,2013,FORD FLEX FWD SEL,30435,2FMGK5C8XDBD28565,JONES FORD,"$22,100 ","5757 Rivers Ave Charleston, SC 29406",(843) 214-2354,SCHRIER AUTOMOTIVE INC,"$23,000 ","7128 F St Omaha, NE 68117",(402) 733-1191,,,,
,,,,,LA AUTO CONNECTION.COM INC,"$22,700 ","16506 Vanowen St Van Nuys, CA 91406",(888) 787-4816,,,,,,,,
,,,,,STADIUM AUTO CALIFORNIA,"$22,900 ","2833 Harbor Blvd Costa Mesa, CA 92626",(888) 380-6115,,,,,,,,
,,,,,SCHRIER AUTOMOTIVE INC,"$23,000 ","7128 F St Omaha, NE 68117",(402) 733-1191,,,,,,,,
12,2013,FORD EXPLORER FWD V6 XLT,30609,1FM5K7D81DGB34341,BILL LUKE FIAT,"$24,500 ","7833 S Autoplex LP Tempe, AZ 85284",(480) 598-4031,HUNTINGTON BEACH FORD,"$25,800 ",,,,,,
,,,,,JONES FORD,"$25,700 ","5757 Rivers Ave Charleston, SC 29406",(843) 214-2354,,,,,,,,
,,,,,JAMES FORD INC,"$25,400 ","100 Seymour St Half Moon Bay, CA 94019",(650) 726-4496,,,,,,,,
13,2013,FORD FUSION FWD 4C SE,34053,3FA6P0H74DR345423,,,,,TOYS AUTO CLUB,"$10,200 ","6215 Fairmount Avenue San Diego, CA 92120",(619) 528-8321,,,,
14,2013,FORD FOCUS SE,34950,1FADP3F2XDL264246,PREMIER HYUNDAI OF OAKLAND,"$8,700 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,PREMIER HYUNDAI OF OAKLAND,"$8,700 ","2820 Broadway Oakland, CA 94607",(803) 317-2147,,,,
,,,,,THE CAR FACTORY,"$8,500 ","5319 Van Nuys Blvd Sherman Oaks, CA 91401",(818) 784-7722,,,,,,,,
