S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
1,2010,GMC YUKON AWD V8 DENALI,104450,1GKUKEEF1AR117044,,,,,WILSON TOYOTA,"$22,800 ","1100 Iowa St Bellingham, WA 98229",(360) 676-0600,,,,
2,2010,TOYOTA PRIUS III,95069,JTDKN3DU4A0144127,,,,,SIMPLE AUTO SALES,"$8,500 ","8787 Monterey rd Gilroy, CA 95020",(408) 842-1514,,,,
3,1998,JEEP WRANGLER 6C SPORT,96984,1J4FY19SXWP745569,,,,,PEAK CARS INC,"$9,200 ","34 Quinns Rd Bozeman, MT 59718",(406) 570-7379,,,,
4,2012,FORD MUSTANG V6 CPE,48806,1ZVBP8AM3C5210200,ROYS AUTO CENTER,"$12,000 ","505 Broadway St Eureka, CA 95501","
 (707) 443-3008",ROYS AUTO CENTER,"$12,000 ","505 Broadway St Eureka, CA 95501","
 (707) 443-3008",,,,
,,,,,ICONIC MOTORS,"$11,750 ","2 California Ave,Pleasanton, CA 94566",(925) 484-4266,,,,,,,,
5,2003,CHEVROLET 1500 SLV 4X2 CR LS,85615,1GCGC13U73F238603,,,,,K/J AUTO EXCHANGE,"$11,500 ","2430 Tapo St Simi Valley, CA 93063",(805) 527-5265,,,,
6,2007,GMC ACADIA AWD SLT,99189,1GKEV23777J119426,ROYS AUTO CENTER,"$11,400 ","505 Broadway St Eureka, CA 95501","
 (707) 443-3008",TOYOTA OF OLYMPIA,"$12,800 ","2225 Carriage Drive SW Olympia, WA 98502",(360) 539-3939,,,,
,,,,,TOYOTA OF OLYMPIA,"$12,800 ","2225 Carriage Drive SW Olympia, WA 98502",(360) 539-3939,,,,,,,,
,,,,,EMOTORWEST.COM SUPERSTORE IDAHO,"$12,700 ","5803 Cleveland Blvd, Caldwell, ID 83607",888-815-5211,,,,,,,,
7,2011,TOYOTA CAMRY 4C SE,92528,4T1BF3EK9BU206654,PROPER CHOICE AUTO SALE,"$9,500 ","2230 W Chapman Ave Ste 129 Orange, CA 92868",(949) 345-9410,K/J AUTO EXCHANGE,"$10,500 ","2430 Tapo St Simi Valley, CA 93063",(805) 527-5265,,,,
8,2006,VOLKSWAGEN JETTA 5C 2.5L,95493,3VWSF71K36M723893,SMART AUTO,"$4,400 ","3105 E. Sahara Ave Las Vegas, NV 89104",702) 933-4400,DRIVETIME,"$4,500 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,,,,
,,,,,MOTOR CITY,"$4,200 ",NA,NA,,,,,,,,
9,2013,SUBARU IMPREZA PREMIUM,99673,JF1GJAB68DH006290,SMART AUTO,"$10,000 ","3105 E. Sahara Ave Las Vegas, NV 89104",702) 933-4400,SMART AUTO,"$10,000 ","3105 E. Sahara Ave Las Vegas, NV 89104",702) 933-4400,,,,
10,2007,TOYOTA HIGHLNDR 4X4 V6 LIMITED,144774,JTEEP21A470217545,,,,,SIMPLE AUTO SALES,"$8,100 ","8787 Monterey rd Gilroy, CA 95020",(408) 842-1514,,,,
