S.No.,Model,Car,Odometer,VIN number,Online bid,OnlineBidDollars,OnlineBidAddress,OnlineBidPhone,Sold,SoldDollars,SoldAddress,SoldPhone No.,If sale,IfsaleDollars,IfsaleAddress,IfsalePhone No.
,,,,,,,,,,,,,,,,
S.No.,Model,Car,Odometer,VIN number,Online bid,Dollars,Address,Phone,Sold,Dollars,Address,Phone No.,If sale,Dollars,Address,Phone No.
1,2013,BMW MINI,76067,WMWSU3C50DT546644,,,,,FIRST CHOICE  AUTO CENTER,"$7,500 ","13731 Harbor Blvd Garden Grove, CA 92843",(714) 530-5333,,,,
2,2009,MERCEDES ML320BTC,101743,4JGBB25E59A500810,D & C MOTORZ INC,"$13,000 ","2627 SE Holgate Blvd, Portland, OR 97202",(503) 719-5038,D & C MOTORZ INC,"$13,000 ","2627 SE Holgate Blvd, Portland, OR 97202",(503) 719-5038,,,,
,,,,,OC AUTO GROUP,"$12,500 ","13750 Beach Blvd Westminster, CA 92683",(714) 895-0033,,,,,,,,
,,,,,AUTO NET,"$12,750 ","22109 Ventura Blvd Woodland Hills, CA 91364",(747) 888-3939,,,,,,,,
3,2004,AUDI S4,99412,WAUPL68E24A298556,,,,,NVP REMARKETING,"$3,200 ","17292 Brooklyn Avenue Yorba Linda, CA 92886",714-420-3099,,,,
4,2011,BMW 328I 328I,31487,WBAPH5G54BNM83579,,,,,CAR STAR MOTORS,"$16,250 ","12460 Victory Blvd North Hollywood, CA 91606",(818) 781-5333,,,,
5,2012,JAGUAR XF,91797,SAJWA0FB0CLS55347,,,,,KARPLUS WAREHOUSE INC,"$17,250 ","10103 San Fernando Rd Pacoima, CA 91331",(888) 379-8896,,,,
6,2008,MERCEDES CLK350A,81455,WDBTK56FX8F235478,LARRY H. MILLER FLEET,"$10,750 ",NOT APPLICABLE,NOT APPLICABLE,CLASSIC MOTORS,"$12,100 ","320 N Pacific Coast Hwy Redondo Beach, CA 90277",(310) 379-2771,,,,
7,2008,HONDA ACCORD V6 EX-L,68458,1HGCS22898A014556,HAWTHORNE MOTORS PRE OWNED,"$8,750 ","16301 Hawthorne Blvd Lawndale, CA 90260",(310) 793-9999,CAR LUX INC,"$10,100 ","843 S La Brea Ave Inglewood, CA 90301",(310) 412-9072,,,,
,,,,,PENEGON MISSION VIEJO INC,"$9,500 ","1455 Auto Mall Dr,  Santa Ana, CA 92705  ",(949) 365-8750  ,,,,,,,,
,,,,,BALLERS,"$9,750 ","700 S La Brea Inglewood, CA 90301",(424) 732-8504,,,,,,,,
8,2012,SUBARU IMP WRX,71441,JF1GR7E69CG215985,,,,,FORMULA ONE MOTORS,"$17,000 ","3896 Stevens Creek Blvd, San Jose, CA 95117",(408) 248-3300,,,,
9,2011,BMW MINI S,95661,WMWZG3C58BTY31109,A & A MOTORS,"$4,750 ","4607 Wible Rd Bakersfield, CA 93313",(661) 833-8410,FORMULA ONE MOTORS,"$5,000 ","3896 Stevens Creek Blvd, San Jose, CA 95117",(408) 248-3300,,,,
10,2011,TOYOTA TUNDRA 4X4 DB,61708,5TFUY5F1XBX168777,EZ CARS 101 LLC,"$23,250 ","140 N Coast Hwy 101 Encinitas, CA 92024",(760) 753-2277,PACIFIC AUTO CENTER,"$24,250 ","16416 Valley Blvd Fontana, CA 92335",(909) 429-1100,,,,
,,,,,WASATCH AUTO GROUP LLC,"$21,750 ",not applicable,not applicable,,,,,,,,
,,,,,LARRY H. MILLER FLEET,"$20,500 ",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,
11,2008,TOYOTA CAMRY 4C LE,88895,4T4BE46K08R022239,DRIVETIME,"$6,900 ","3812 Florin Road Ste 101 Sacramento, CA 95823",(916) 968-1630,FIRST CHOICE AUTO CENTER,"$7,100 ","13731 Harbor Blvd Garden Grove, CA 92843",(714) 530-5333,,,,
12,2005,LANDROVER RANGE ROVER HSE,159258,SALME11455A196053,,,,,WEST COAST MOTORS LLC,"$5,000 ","3011 N 73rd Ste 111 Scottsdale, AZ 85251",(602) 402-3987,,,,
13,2004,BMW 545I 545I,82138,WBANB33574B108518,,,,,BUDS RIDES,"$5,400 ",Not applicable,Not applicable,,,,
14,2014,TOYOTA TUNDRA 4X2 V8,7091,5TFRM5F11EX070839,,,,,SOUTHERN FINANCIAL,"$24,750 ",NA,NA,,,,
15,2013,TOYOTA PRIUS C,53871,JTDKDTB30D1550773,ATLANTA POWERSPORTS,"$9,000 ","595 Roswell Street  Marietta, GA 30060",770-674-8412,,,,,,,,
,,,,,SKY TOUCH IMPORTS INC,"$9,500 ","135 W Commonwealth Ave Fullerton, CA 92832",(714) 879-6900,,,,,,,,
16,2003,LEXUS SC 430,133073,JTHFN48Y330047751,,,,,CAR LUX INC,"$7,100 ","843 S La Brea Ave Inglewood, CA 90301",(310) 412-9072,,,,
17,2012,FORD FLEX AWD LIMITED,45744,2FMHK6DC3CBD15149,,,,,DKM AUTO ,"$19,000 ",Not applicable,Not applicable,,,,
18,2007,LEXUS GS 450H,181622,JTHBC96S875004113,,,,,LA AUTOBROKERS SALES &LEASING,"$8,250 ","969 S Village Oaks Dr Ste 205 Covina, CA 91724",(877) 775-5343,,,,
19,2007,MERCEDES R350,85422,4JGCB65E07A053280,,,,,CERTIFIED LUXURY AUTO INC,"$8,500 ","1005 N Scottsdale Rd Scottsdale, AZ 85257",(480) 827-7679,,,,
20,2004,HYUNDAI SANTA FE,87785,KM8SC73E94U736946,EAGLE MOTORS,"$2,200 ","7961 Balboa Ave San Diego, CA 92111",(858) 244-1062,NVP REMARKETING,"$3,100 ","17292 Brooklyn Avenue Yorba Linda, CA 92886",714-420-3099,,,,
21,2002,LEXUS RX 300 FWD,209819,JTJGF10U420140963,,,,,HIJAZI AUTO SALES,"$3,000 ","84311 Avenida Florabunda Coachella, CA 92236",N/M,,,,
